,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,AL,Andalusia Health,Andalusia,83,"2,196","9,475","$296,507"
1,AL,Ascension Saint Vincent's Birmingham,Birmingham,401,"17,201","94,162","$2,334,190"
2,AL,Ascension Saint Vincent's Chilton,Clanton,26,652,"2,098","$150,890"
3,AL,Ascension Saint Vincent's St. Clair,Pell City,40,"1,975","10,004","$271,331"
4,AL,Ascension St. Vincent's East,Birmingham,311,"12,222","78,475","$1,324,754"
5,AL,Athens-Limestone Hospital,Athens,66,"3,689","14,794","$382,934"
6,AL,Atmore Community Hospital,Atmore,49,822,"3,177","$71,017"
7,AL,Atrium Health Floyd Cherokee Medical Center,Centre,45,"1,005","4,423","$92,722"
8,AL,Baptist Medical Center East,Montgomery,184,"11,662","63,480","$653,788"
9,AL,Baptist Medical Center South,Montgomery,389,"14,392","97,790","$1,789,301"
10,AL,Bibb Medical Center,Centreville,156,229,"1,053","$31,288"
11,AL,Birmingham VA Medical Center,Birmingham,0,0,0,$0
12,AL,Brookwood Baptist Medical Center,Birmingham,595,"12,003","63,284","$3,353,980"
13,AL,Bullock County Hospital,Union Springs,54,208,"1,317","$42,632"
14,AL,Central Alabama Veterans Health Care System - East Campus,Tuskegee,0,0,0,$0
15,AL,Central Alabama Veterans Health Care System - West Campus,Montgomery,0,0,0,$0
16,AL,Citizens Baptist Medical Center,Talladega,103,"1,893","9,521","$276,690"
17,AL,Clay County Hospital,Ashland,129,873,"4,080","$38,778"
18,AL,Community Hospital,Tallassee,47,350,"1,593","$28,759"
19,AL,Coosa Valley Medical Center,Sylacauga,142,"2,715","12,541","$300,843"
20,AL,Crenshaw Community Hospital,Luverne,49,353,"1,738","$37,390"
21,AL,Crestwood Medical Center,Huntsville,174,"8,561","38,278","$3,148,889"
22,AL,Cullman Regional Medical Center,Cullman,137,"7,669","33,540","$675,767"
23,AL,D.W. McMillan Memorial Hospital,Brewton,46,"1,122","4,313","$136,311"
24,AL,Dale Medical Center,Ozark,89,"1,228","6,851","$125,677"
25,AL,DCH Regional Medical Center,Tuscaloosa,468,"31,691","126,916","$1,927,773"
26,AL,Decatur Morgan Hospital,Decatur,352,"8,672","46,437","$568,257"
27,AL,Decatur Morgan Hospital Parkway Campus,Decatur,120,"1,560","5,928","$186,633"
28,AL,DeKalb Regional Medical Center,Fort Payne,115,"2,440","10,461","$473,504"
29,AL,EAMC - Lanier,Valley,29,460,"2,106",$0
30,AL,East Alabama Medical Center,Opelika,320,"15,434","77,586","$961,669"
31,AL,Elmore Community Hospital,Wetumpka,33,849,"4,433","$38,955"
32,AL,Evergreen Medical Center,Evergreen,44,"1,172","4,614","$41,527"
33,AL,Fayette Medical Center,Fayette,132,554,"1,866",$0
34,AL,Flowers Hospital,Dothan,193,"12,030","57,381","$2,645,980"
35,AL,Gadsden Regional Medical Center,Gadsden,234,"9,675","52,468","$2,799,599"
36,AL,Grandview Medical Center,Birmingham,434,"23,478","118,144","$6,740,642"
37,AL,Greene County Health System,Eutaw,92,230,"1,358","$22,637"
38,AL,Grove Hill Memorial Hospital,Grove Hill,30,396,"1,631","$33,290"
39,AL,Hale County Hospital,Greensboro,28,384,"1,166","$19,713"
