,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,AR,Arkansas Heart Hospital,Little Rock,112,"5,293","21,758","$647,303"
1,AR,Arkansas Heart Hospital Encore Medical Center,Bryant,34,"2,284","11,034","$150,357"
2,AR,Arkansas Methodist Medical Center,Paragould,129,"2,656","11,908","$204,760"
3,AR,Arkansas Surgical Hospital,North Little Rock,47,"2,803","5,520","$221,028"
4,AR,Baptist Health Medical Center - Conway,Conway,111,"3,505","16,591","$379,982"
5,AR,Baptist Health Medical Center - Hot Spring County,Malvern,69,"1,415","5,900","$79,499"
6,AR,Baptist Health Medical Center - North Little Rock,North Little Rock,224,"11,501","57,880","$1,039,469"
7,AR,Baptist Health Medical Center - Stuttgart,Stuttgart,49,693,"2,519","$90,414"
8,AR,Baptist Health Medical Center- Little Rock,Little Rock,809,"28,224","179,370","$2,598,866"
9,AR,Baptist Health-Fort Smith,Fort Smith,321,"11,894","64,517","$1,850,525"
10,AR,Baptist Health-Van Buren,Van Buren,74,382,"1,213","$82,464"
11,AR,Baptist Memorial Hospital - Crittenden,West Memphis,11,503,"1,525","$166,425"
12,AR,Baxter Health,Mountain Home,211,"9,530","35,732","$761,879"
13,AR,Cabot Emergency Hospital,Cabot,0,0,0,$0
14,AR,Chambers Memorial Hospital,Danville,42,"1,412","4,012","$57,995"
15,AR,CHI St. Vincent Hot Springs,Hot Springs,229,"13,294","52,451","$1,001,711"
16,AR,CHI St. Vincent Infirmary,Little Rock,419,"13,609","90,135","$1,821,199"
17,AR,CHI St. Vincent North,Sherwood,68,"3,369","17,476","$381,818"
18,AR,Conway Regional Medical Center,Conway,150,"8,333","40,985","$915,488"
19,AR,Drew Memorial Hospital,Monticello,60,"2,136","7,812","$108,303"
20,AR,Fayetteville VA Medical Center,Fayetteville,0,0,0,$0
21,AR,Forrest City Medical Center,Forrest City,62,"1,716","5,948","$158,039"
22,AR,Fort Smith ER & Hospital,Fort Smith,0,0,0,$0
23,AR,Great River Medical Center,Blytheville,28,"1,779","7,209","$100,590"
24,AR,Helena Regional Medical Center,Helena,127,551,"1,433","$82,706"
25,AR,Jefferson Regional Medical Center,Pine Bluff,290,"7,547","37,458","$788,526"
26,AR,John L. McClellan Memorial Veterans Hospital,Little Rock,0,0,0,$0
27,AR,Johnson Regional Medical Center,Clarksville,90,"1,470","5,229","$78,806"
28,AR,Levi Hospital,Hot Springs National Park,53,2,2,"$14,290"
29,AR,Magnolia Regional Medical Center,Magnolia,29,924,"3,613","$71,566"
30,AR,Medical Center of South Arkansas,El Dorado,121,"2,962","13,366","$499,967"
31,AR,Mena Regional Health System,Mena,65,"1,037","2,985","$75,379"
32,AR,Mercy Hospital Fort Smith,Fort Smith,256,"16,588","75,225","$1,506,596"
33,AR,Mercy Hospital Northwest Arkansas,Rogers,270,"13,470","59,688","$1,436,538"
34,AR,Mercy Orthopedic Hospital Fort Smith,Fort Smith,0,0,0,$0
35,AR,National Park Medical Center,Hot Springs,163,"4,567","22,444","$1,067,491"
36,AR,NEA Baptist Memorial Hospital,Jonesboro,204,"10,840","54,223","$1,262,446"
37,AR,North Arkansas Regional Medical Center,Harrison,134,"2,063","8,709","$294,809"
38,AR,Northwest Health Physicians' Specialty Hospital,Fayetteville,20,"1,122","1,775","$167,459"
39,AR,Northwest Medical Center - Bentonville,Bentonville,121,"5,192","22,923","$238,959"
40,AR,Northwest Medical Center - Springdale,Springdale,308,"13,670","65,745","$2,362,894"
41,AR,Ouachita County Medical Center,Camden,82,969,"4,287","$113,285"
42,AR,Saint Mary's Regional Health System,Russellville,157,"4,719","21,157","$814,536"
43,AR,Saline Memorial Hospital,Benton,161,"3,724","16,279","$343,864"
44,AR,Sevier County Medical Center,De Queen,0,0,0,$0
45,AR,Siloam Springs Regional Hospital,Siloam Springs,64,"1,533","6,087","$401,149"
46,AR,St. Bernards Five Rivers Medical Center,Pocahontas,41,637,"2,167","$41,819"
47,AR,St. Bernards Medical Center,Jonesboro,398,"20,459","98,571","$1,261,830"
48,AR,Unity Health - Jacksonville,Jacksonville,0,0,0,$0
49,AR,Unity Health - Newport,Newport,0,0,0,$0
50,AR,Unity Health - White County Medical Center,Searcy,234,"10,333","47,566","$788,442"
51,AR,University of Arkansas for Medical Sciences (UAMS) Medical Center,Little Rock,521,"25,768","150,933","$1,334,667"
52,AR,Wadley Regional Medical Center at Hope,Hope,48,331,"1,213","$69,563"
53,AR,Washington Regional Medical Center,Fayetteville,377,"15,292","76,535","$1,629,305"
54,AR,White River Medical Center,Batesville,212,"7,649","33,762","$630,015"
55,AR,Willow Creek Women's Hospital,Johnson,30,"3,357","11,571","$38,243"
