,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,AZ,Abrazo Arizona Heart Hospital,Phoenix,0,0,0,$0
1,AZ,Abrazo Arrowhead Campus,Glendale,270,"15,603","69,689","$3,651,546"
2,AZ,Abrazo Cave Creek Hospital,Cave Creek,0,0,0,$0
3,AZ,Abrazo Central Campus,Phoenix,177,"5,985","32,810","$1,325,596"
4,AZ,Abrazo Scottsdale Campus,Phoenix,128,"4,105","18,415","$1,167,628"
5,AZ,Abrazo Surprise Hospital,Surprise,0,0,0,$0
6,AZ,Abrazo West Campus,Goodyear,197,"11,959","61,133","$2,600,494"
7,AZ,Arizona Specialty Hospital,Chandler,24,786,"1,683","$163,107"
8,AZ,Arizona Spine and Joint Hospital,Mesa,23,"1,308","1,551","$202,395"
9,AZ,Banner - University Medical Center Tucson,Tucson,505,"24,421","166,079","$3,744,871"
10,AZ,Banner - University Medical Center Phoenix,Phoenix,662,"32,942","213,527","$4,629,210"
11,AZ,Banner - University Medical Center South Campus,Tucson,162,"7,080","40,379","$771,843"
12,AZ,Banner Baywood Medical Center,Mesa,340,"13,608","79,119","$1,566,602"
13,AZ,Banner Boswell Medical Center,Sun City,501,"15,539","83,444","$1,973,160"
14,AZ,Banner Casa Grande Medical Center,Casa Grande,141,"6,083","32,412","$806,346"
15,AZ,Banner Del E. Webb Medical Center,Sun City West,391,"17,407","84,758","$1,855,593"
16,AZ,Banner Desert Medical Center,Mesa,629,"33,831","186,657","$3,997,192"
17,AZ,Banner Estrella Medical Center,Phoenix,317,"20,298","97,223","$2,072,003"
18,AZ,Banner Gateway Medical Center,Gilbert,185,"12,459","57,768","$2,164,443"
19,AZ,Banner Goldfield Medical Center,Apache Junction,20,922,"3,016","$136,311"
20,AZ,Banner Heart Hospital,Mesa,108,"4,942","22,718","$832,153"
21,AZ,Banner Ironwood Medical Center,Queen Creek,89,"5,756","21,190","$552,630"
22,AZ,Banner Ocotillo Medical Center,Chandler,94,"3,510","14,883","$367,182"
23,AZ,Banner Thunderbird Medical Center,Glendale,595,"25,358","135,340","$3,067,094"
24,AZ,Canyon Vista Medical Center,Sierra Vista,93,"4,012","15,679","$569,778"
25,AZ,Carl T. Hayden Veterans' Administration Medical Center,Phoenix,0,0,0,$0
26,AZ,Carondelet Heart & Vascular Institute,Tucson,60,"1,162","4,175","$128,262"
27,AZ,Chandler Regional Medical Center,Chandler,379,"26,654","122,404","$3,933,331"
28,AZ,Chinle Comprehensive Health Care Facility,Chinle,60,"1,599","6,112",$0
29,AZ,City of Hope Phoenix Comprehensive Care and Research Center,Goodyear,38,539,"2,237",$0
30,AZ,Dignity Health - Arizona General Hospital Laveen,Laveen,16,574,"2,044","$592,167"
31,AZ,Dignity Health - Arizona General Hospital Mesa,Mesa,50,"1,942","10,211","$644,185"
32,AZ,East Valley ER & Hospital,Gilbert,0,0,0,$0
33,AZ,Exceptional Community Hospital - Maricopa,Maricopa,0,0,0,$0
34,AZ,Exceptional Community Hospital - Yuma,Yuma,0,0,0,$0
35,AZ,Flagstaff Medical Center,Flagstaff,268,"11,031","61,354","$1,410,769"
36,AZ,Florence Hospital,Florence,0,0,0,$0
37,AZ,Havasu Regional Medical Center,Lake Havasu City,163,"5,515","25,972","$1,508,087"
38,AZ,HonorHealth Deer Valley Medical Center,Phoenix,204,"11,309","59,737","$2,158,889"
39,AZ,HonorHealth John C. Lincoln Medical Center,Phoenix,258,"10,659","59,624","$3,050,897"
40,AZ,HonorHealth Scottsdale Osborn Medical Center,Scottsdale,351,"13,585","67,274","$2,633,515"
41,AZ,HonorHealth Scottsdale Shea Medical Center,Scottsdale,427,"14,658","101,585","$3,489,078"
42,AZ,HonorHealth Scottsdale Thompson Peak Medical Center,Scottsdale,120,"5,972","27,247","$1,065,510"
43,AZ,HonorHealth Sonoran Crossing Medical Center,Phoenix,70,"2,143","9,679","$422,336"
44,AZ,Kingman Regional Medical Center,Kingman,214,"7,675","43,679","$1,932,300"
45,AZ,"Mayo Clinic Hospital, Phoenix Arizona",Phoenix,306,"16,494","92,745","$4,366,755"
46,AZ,Mercy Gilbert Medical Center,Gilbert,197,"16,822","69,240","$2,151,847"
47,AZ,Mountain Vista Medical Center,Mesa,182,"7,218","32,571","$1,094,254"
48,AZ,Northern Arizona VA Health Care System,Prescott,0,0,0,$0
49,AZ,Northwest Medical Center,Tucson,254,"13,020","60,986","$2,869,658"
50,AZ,Northwest Medical Center Sahuarita,Sahuarita,36,"1,506","3,903","$381,015"
51,AZ,OASIS Hospital,Phoenix,64,"2,434","5,281","$247,352"
52,AZ,Oro Valley Hospital,Tucson,176,"4,428","18,849","$1,231,039"
53,AZ,Phoenix ER & Medical Hospital,Chandler,0,0,0,$0
54,AZ,Phoenix Indian Medical Center,Phoenix,133,"1,310","5,761",$0
55,AZ,Saint Joseph's Hospital,Tucson,486,"11,811","57,827","$2,364,178"
56,AZ,Saint Joseph's Westgate Medical Center,Glendale,0,0,0,$0
57,AZ,Saint Mary's Hospital,Tucson,408,"7,630","41,755","$1,607,324"
58,AZ,San Carlos Apache Healthcare,Peridot,12,814,"2,951",$0
59,AZ,Sells Indian Hospital,Sells,14,174,602,$0
60,AZ,Southern Arizona VA Health Care System,Tucson,0,0,0,$0
61,AZ,St. Joseph's Hospital and Medical Center,Phoenix,553,"30,853","172,709","$5,300,955"
62,AZ,Steward Mesa Hospital,Mesa,0,0,0,$0
63,AZ,Summit Healthcare Regional Medical Center,Show Low,101,"5,748","21,579","$848,465"
64,AZ,Tempe Saint Luke's Hospital,Tempe,64,"2,844","11,386","$398,332"
65,AZ,The CORE Institute Specialty Hospital,Phoenix,28,816,927,"$354,244"
66,AZ,Tsehootsooi Medical Center,Fort Defiance,56,"2,308","7,268",$0
67,AZ,Tuba City Indian Medical Center,Tuba City,73,"1,436","7,556",$0
68,AZ,Tucson ER & Hospital,Tucson,0,0,0,$0
69,AZ,Tucson Medical Center,Tucson,515,"28,900","136,617","$2,621,744"
70,AZ,Valley View Medical Center,Fort Mohave,84,"1,535","7,181","$507,451"
71,AZ,Valleywise Behavioral Health Center-Maryvale,Phoenix,228,"3,640","15,153","$337,726"
72,AZ,Valleywise Health Medical Center,Phoenix,738,"13,185","69,705","$2,562,415"
73,AZ,Verde Valley Medical Center,Cottonwood,87,"4,947","21,155","$722,433"
74,AZ,Verde Valley Medical Center - Sedona Campus,Sedona,0,0,0,$0
75,AZ,Western Arizona Regional Medical Center,Bullhead City,99,"3,479","19,726","$1,332,685"
76,AZ,Whiteriver Indian Hospital,Whiteriver,40,"1,300","4,188",$0
77,AZ,Yavapai Regional Medical Center - East,Prescott Valley,56,"4,182","14,511","$374,590"
78,AZ,Yavapai Regional Medical Center - West,Prescott,213,"15,739","58,215","$1,586,745"
79,AZ,Yuma Regional Medical Center,Yuma,406,"12,394","61,819","$2,753,013"
