,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,FL,96th Medical Group - Eglin Air Force Base,Eglin Air Force Base,0,0,0,$0
1,FL,AdventHealth Altamonte Springs,Altamonte Springs,0,0,0,$0
2,FL,AdventHealth Apopka,Apopka,0,0,0,$0
3,FL,AdventHealth Carrollwood,Tampa,103,"6,566","30,083","$1,223,761"
4,FL,AdventHealth Celebration,Celebration,0,0,0,$0
5,FL,AdventHealth Dade City,Dade City,120,"4,644","16,524",$0
6,FL,AdventHealth Daytona Beach,Daytona Beach,362,"18,031","99,725","$2,276,874"
7,FL,AdventHealth DeLand,DeLand,164,"7,731","36,976","$903,260"
8,FL,AdventHealth East Orlando,Orlando,0,0,0,$0
9,FL,AdventHealth Fish Memorial,Orange City,257,"9,628","51,168","$1,010,901"
10,FL,AdventHealth Heart of Florida,Davenport,193,"8,979","44,993","$2,018,584"
11,FL,AdventHealth Kissimmee,Kissimmee,0,0,0,$0
12,FL,AdventHealth Lake Placid,Lake Placid,0,0,0,$0
13,FL,AdventHealth Lake Wales,Lake Wales,29,"3,461","17,585","$647,981"
14,FL,AdventHealth New Smyrna Beach,New Smyrna Beach,109,"5,396","26,640","$564,216"
15,FL,AdventHealth North Pinellas,Tarpon Springs,168,"5,015","26,164","$666,524"
16,FL,AdventHealth Ocala,Ocala,385,"18,024","84,663",$0
17,FL,AdventHealth Orlando,Orlando,"2,904","130,555","772,819","$24,812,983"
18,FL,AdventHealth Palm Coast,Palm Coast,99,"8,569","44,391","$1,070,213"
19,FL,AdventHealth Pepin Heart Institute,Tampa,0,0,0,$0
20,FL,AdventHealth Sebring,Sebring,204,"11,167","58,893","$1,521,524"
21,FL,AdventHealth Tampa,Tampa,626,"22,379","123,045","$3,606,321"
22,FL,AdventHealth Waterman,Tavares,280,"14,274","67,436","$1,657,465"
23,FL,AdventHealth Wesley Chapel,Wesley Chapel,169,"10,151","41,342","$1,795,820"
24,FL,AdventHealth Winter Garden,Winter Garden,0,0,0,$0
25,FL,AdventHealth Winter Park,Winter Park,0,0,0,$0
26,FL,AdventHealth Zephyrhills,Zephyrhills,149,"9,970","42,350","$1,256,403"
27,FL,Ascension Sacred Heart Bay,Panama City,169,"7,608","42,710","$1,087,119"
28,FL,Ascension Sacred Heart Emerald Coast,Miramar Beach,80,"5,525","18,798","$876,330"
29,FL,Ascension Sacred Heart Gulf,Port Saint Joe,19,425,"1,517","$85,115"
30,FL,Ascension Sacred Heart Pensacola Hospital,Pensacola,557,"25,679","132,107","$3,824,913"
31,FL,Ascension St. Vincent's Clay County Hospital,Middleburg,134,"7,496","34,594","$908,673"
32,FL,Ascension St. Vincent's Health Center - St. Johns,St. Augustine,0,0,0,$0
33,FL,Ascension St. Vincent's Riverside Hospital,Jacksonville,453,"18,063","95,966","$2,890,091"
34,FL,Ascension St. Vincent's Southside Hospital,Jacksonville,263,"9,053","40,538","$1,375,551"
35,FL,Ascension St. Vincent's St. Johns County Hospital,St. Johns,0,0,0,$0
36,FL,Baptist Heart Hospital,Jacksonville,0,0,0,$0
37,FL,Baptist Hospital,Miami,948,"27,424","200,733","$6,902,086"
