,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,A,Abrazo Arizona Heart Hospital,Phoenix,0,0,0,$0
1,Z,Abrazo Arrowhead Campus,Glendale,270,"15,603","69,689","$3,651,546"
2,A,Abrazo Cave Creek Hospital,Cave Creek,0,0,0,$0
3,Z,Abrazo Central Campus,Phoenix,177,"5,985","32,810","$1,325,596"
4,A,Abrazo Scottsdale Campus,Phoenix,128,"4,105","18,415","$1,167,628"
5,Z,Abrazo Surprise Hospital,Surprise,0,0,0,$0
6,A,Abrazo West Campus,Goodyear,197,"11,959","61,133","$2,600,494"
7,Z,Arizona Specialty Hospital,Chandler,24,786,"1,683","$163,107"
8,A,Arizona Spine and Joint Hospital,Mesa,23,"1,308","1,551","$202,395"
9,Z,Banner - University Medical Center Tucson,Tucson,505,"24,421","166,079","$3,744,871"
10,A,Banner - University Medical Center Phoenix,Phoenix,662,"32,942","213,527","$4,629,210"
11,Z,Banner - University Medical Center South Campus,Tucson,162,"7,080","40,379","$771,843"
12,A,Banner Baywood Medical Center,Mesa,340,"13,608","79,119","$1,566,602"
13,Z,Banner Boswell Medical Center,Sun City,501,"15,539","83,444","$1,973,160"
14,A,Banner Casa Grande Medical Center,Casa Grande,141,"6,083","32,412","$806,346"
15,Z,Banner Del E. Webb Medical Center,Sun City West,391,"17,407","84,758","$1,855,593"
16,A,Banner Desert Medical Center,Mesa,629,"33,831","186,657","$3,997,192"
17,Z,Banner Estrella Medical Center,Phoenix,317,"20,298","97,223","$2,072,003"
18,A,Banner Gateway Medical Center,Gilbert,185,"12,459","57,768","$2,164,443"
19,Z,Banner Goldfield Medical Center,Apache Junction,20,922,"3,016","$136,311"
20,A,Banner Heart Hospital,Mesa,108,"4,942","22,718","$832,153"
21,Z,Banner Ironwood Medical Center,Queen Creek,89,"5,756","21,190","$552,630"
22,A,Banner Ocotillo Medical Center,Chandler,94,"3,510","14,883","$367,182"
