,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,C,Adventist Health Simi Valley,Simi Valley,144,"7,430","34,626","$1,003,713"
1,A,Downey Medical Center,Downey,352,"15,926","72,198","$2,699,939"
2,C,MarinHealth Medical Center,Greenbrae,327,"8,120","40,765","$2,788,535"
3,A,Providence Saint John's Health Center,Santa Monica,266,"11,539","52,275","$1,414,494"
4,C,Woodland Hills Medical Center,Woodland Hills,274,"9,782","36,430","$1,393,754"
5,A,60th Medical Group - Travis Air Force Base,Travis Air Force Base,0,0,0,$0
6,C,Adventist Health and Rideout,Marysville,209,"12,041","68,120","$1,926,023"
7,A,Adventist Health Bakersfield,Bakersfield,254,"15,753","71,664","$2,492,798"
8,C,Adventist Health Delano,Delano,109,"2,092","9,670","$224,116"
9,A,Adventist Health Glendale,Glendale,451,"15,325","73,230","$3,098,812"
10,C,Adventist Health Hanford,Hanford,235,"10,652","55,386","$1,377,252"
11,A,Adventist Health Lodi Memorial,Lodi,194,"6,637","29,112","$1,714,799"
12,C,Adventist Health Reedley,Reedley,49,"1,746","5,780","$350,757"
13,A,Adventist Health Saint Helena,Saint Helena,127,"3,481","20,886","$1,297,851"
14,C,Adventist Health Selma,Selma,0,0,0,$0
15,A,Adventist Health Sonora,Sonora,152,"4,213","16,115","$1,269,245"
16,C,Adventist Health Tulare,Tulare,73,"2,348","9,231","$267,223"
17,A,Adventist Health Ukiah Valley,Ukiah,50,"3,415","14,631","$693,319"
18,C,Adventist Health Vallejo,Vallejo,0,0,0,$0
19,A,Adventist Health White Memorial,Los Angeles,353,"17,061","78,368","$2,780,150"
20,C,AHMC Seton Medical Center,Daly City,434,"1,353","18,178","$1,048,022"
21,A,AHMC Seton Medical Center Coastside,Moss Beach,0,0,0,$0
22,C,Alameda Hospital,Alameda,247,"2,467","11,865","$601,334"
23,A,Alhambra Hospital Medical Center,Alhambra,144,"3,588","17,831","$494,328"
24,C,Alta Bates Summit Medical Center,Oakland,461,"10,414","48,872","$1,809,679"
25,A,Alta Bates Summit Medical Center Herrick Campus,Berkeley,0,0,0,$0
26,C,Alta Bates Summit Medical Center Alta Bates Campus,Berkeley,383,"11,280","56,067","$1,807,602"
27,A,Alvarado Hospital Medical Center,San Diego,256,"4,896","24,030","$498,783"
28,C,Anaheim Global Medical Center,Anaheim,189,"1,821","11,294","$271,541"
29,A,Anaheim Medical Center,Anaheim,526,"24,810","106,634","$3,753,164"
30,C,Anaheim Regional Medical Center,Anaheim,223,"6,656","33,247","$949,999"
31,A,Antelope Valley Hospital,Lancaster,393,"17,950","88,544","$1,945,836"
32,C,Antioch Medical Center,Antioch,136,"8,455","32,893","$1,473,084"
33,A,Arrowhead Regional Medical Center,Colton,456,"17,689","111,738","$2,413,021"
34,C,Arroyo Grande Community Hospital,Arroyo Grande,67,"4,298","14,331","$542,368"
35,A,Bakersfield Heart Hospital,Bakersfield,44,"2,563","14,281","$398,579"
36,C,Bakersfield Memorial Hospital,Bakersfield,370,"16,810","76,067","$2,309,113"
37,A,Baldwin Park Medical Center,Baldwin Park,272,"10,404","43,995","$2,021,895"
38,C,Barstow Community Hospital,Barstow,30,"2,159","8,776","$555,093"
39,A,Barton Memorial Hospital,South Lake Tahoe,111,"1,544","6,938","$553,595"
40,C,Beverly Hospital,Montebello,202,"8,349","35,663","$502,710"
41,A,California Hospital Medical Center,Los Angeles,318,"14,914","72,365","$1,501,569"
42,C,California Men's Colony Hospital,San Luis Obispo,0,0,0,$0
43,A,Casa Colina Hospital and Centers for Healthcare,Pomona,99,"1,124","4,655","$276,674"
44,C,Cedars Sinai Marina Del Rey Hospital,Marina Del Rey,103,"4,550","21,100","$919,609"
45,A,Cedars-Sinai Medical Center,Los Angeles,882,"50,743","295,623","$24,011,917"
