,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,I,Carle Richland Memorial Hospital,Olney,81,"1,218","3,979","$202,539"
1,L,Northwestern Medicine Kishwaukee Hospital,DeKalb,98,"6,542","24,985","$1,132,434"
2,I,375th Medical Group - Scott Air Force Base Medical Center,Scott Air Force Base,0,0,0,$0
3,L,AdventHealth La Grange,La Grange,177,"6,699","30,623","$699,102"
4,I,Advocate Christ Medical Center,Oak Lawn,782,"38,264","243,912","$4,304,996"
5,L,Advocate Condell Medical Center,Libertyville,257,"13,379","69,544","$1,602,654"
6,I,Advocate Good Samaritan Hospital,Downers Grove,293,"15,487","75,606","$1,439,128"
7,L,Advocate Good Shepherd Hospital,Barrington,176,"10,168","39,961","$1,045,035"
8,I,Advocate Illinois Masonic Medical Center,Chicago,281,"11,234","53,358","$2,156,271"
9,L,Advocate Lutheran General Hospital,Park Ridge,643,"27,643","159,096","$3,124,062"
10,I,Advocate Sherman Hospital,Elgin,255,"14,026","53,791","$1,453,202"
11,L,Advocate South Suburban Hospital,Hazel Crest,233,"9,679","44,688","$820,081"
12,I,Advocate Trinity Hospital,Chicago,438,"16,582","80,171","$1,639,339"
13,L,Alton Memorial Hospital,Alton,121,"6,326","28,894","$651,669"
14,I,Anderson Hospital,Maryville,120,"6,273","26,651","$699,434"
15,L,Ascension Alexian Brothers,Elk Grove Village,354,"15,739","79,795","$2,340,364"
16,I,Ascension Mercy in Aurora,Aurora,258,"5,313","25,753","$1,005,866"
17,L,Ascension Resurrection,Chicago,229,"11,051","61,485","$1,765,065"
18,I,Ascension Saint Alexius in Hoffman Estates,Hoffman Estates,318,"17,340","75,285","$1,700,791"
19,L,Ascension Saint Elizabeth,Chicago,219,"7,753","40,230","$202,651"
20,I,Ascension Saint Francis,Evanston,146,"5,962","31,039","$1,015,709"
21,L,Ascension Saint Joseph - Elgin,Elgin,184,"4,379","24,445","$916,469"
22,I,Ascension Saint Joseph -Chicago,Chicago,303,"9,341","44,554","$927,620"
23,L,Ascension Saint Joseph-Joliet,Joliet,466,"14,679","79,192","$2,213,649"
24,I,Ascension Saint Mary -Chicago,Chicago,331,"11,963","72,614","$1,433,904"
25,L,Ascension Saint Mary- Kankakee,Kankakee,169,"4,959","23,776","$986,900"
26,I,Blessing Hospital,Quincy,347,"12,933","67,222","$2,054,342"
27,L,Captain James A. Lovell Federal Health Care Center,North Chicago,0,0,0,$0
28,I,Carle BroMenn Medical Center,Normal,221,"6,736","33,660","$564,164"
29,L,Carle Foundation Hospital,Urbana,453,"26,698","122,022","$4,658,723"
30,I,Carle Health Methodist Hospital,Peoria,285,"11,788","56,756","$1,691,376"
31,L,Carle Health Pekin Hospital,Pekin,45,"1,606","8,244","$357,521"
32,I,Carle Health Proctor Hospital,Peoria,153,"2,400","10,651","$648,227"
33,L,CGH Medical Center,Sterling,98,"3,690","15,865","$1,001,345"
34,I,City of Hope Chicago Comprehensive Care and Research Center,Zion,73,723,"4,210","$1,742,242"
35,L,Community First Medical Center,Chicago,279,"3,727","24,674","$460,584"
36,I,Crossroads Community Hospital,Mount Vernon,47,751,"2,123","$264,436"
37,L,Decatur Memorial Hospital,Decatur,178,"6,218","34,778","$1,118,498"
38,I,Edward Hines Junior Hospital,Hines,0,0,0,$0
39,L,Edward Hospital - Main Campus,Naperville,294,"20,992","93,816","$4,100,349"
40,I,Elmhurst Hospital,Elmhurst,258,"17,316","76,393","$3,192,902"
41,L,Evanston Hospital,Evanston,719,"35,146","170,667","$5,838,391"
42,I,FHN Memorial Hospital,Freeport,100,"2,699","12,207","$594,486"
43,L,Franciscan Health Olympia Fields,Olympia Fields,178,"9,614","50,122","$1,227,221"
44,I,Gateway Regional Medical Center,Granite City,305,"4,773","19,076","$746,561"
45,L,Genesis Medical Center Silvis,Silvis,145,"2,877","9,093","$319,851"
46,I,Glenbrook Hospital,Glenview,0,0,0,$0
47,L,Gottlieb Memorial Hospital,Melrose Park,201,"4,667","26,387","$666,836"
48,I,Graham Hospital,Canton,81,"1,824","7,779","$248,872"
49,L,Harrisburg Medical Center,Harrisburg,68,775,"2,505","$135,883"
50,I,Heartland Regional Medical Center,Marion,94,"1,865","6,712","$551,201"
51,L,Highland Park Hospital,Highland Park,0,0,0,$0
52,I,Holy Cross Hospital,Chicago,155,"5,738","29,870","$440,058"
53,L,HSHS Good Shepherd Hospital,Shelbyville,30,246,"1,025","$44,097"
54,I,HSHS Holy Family Hospital,Greenville,28,580,"1,773","$68,016"
55,L,HSHS Saint Anthony's Memorial Hospital,Effingham,133,"3,189","12,805","$441,387"
56,I,HSHS Saint Elizabeth's Hospital,O'Fallon,144,"9,002","42,393","$1,234,318"
57,L,HSHS Saint John's Hospital,Springfield,432,"18,756","113,908","$2,356,166"
58,I,HSHS Saint Mary's Hospital,Decatur,207,"5,125","28,585","$747,825"
59,L,HSHS St. John's Children's Hospital,Springfield,0,0,0,$0
60,I,HSHS St. Joseph's Hospital Breese,Breese,46,"1,361","4,868","$166,325"
61,L,Humboldt Park Health,Chicago,185,"4,567","32,771","$349,142"
62,I,INSIGHT Hospital and Medical Center Chicago,Chicago,91,537,"2,261","$83,618"
63,L,Iroquois Memorial Hospital,Watseka,60,502,"1,437","$71,698"
