,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,IN,Ascension Medical Group St. Vincent - Heart Care,Carmel,107,"4,342","21,932","$754,082"
1,IN,Ascension Saint Vincent Carmel,Carmel,121,"7,060","22,532","$793,129"
2,IN,Ascension Saint Vincent Evansville,Evansville,376,"13,965","59,362","$2,423,092"
3,IN,Ascension Saint Vincent Fishers,Fishers,46,"1,474","4,288","$245,574"
4,IN,Ascension Saint Vincent Indianapolis Hospital,Indianapolis,856,"29,267","193,156","$5,147,985"
5,IN,Ascension Saint Vincent Women's Hospital,Indianapolis,182,"3,026","15,720","$66,095"
6,IN,Ascension St. Vincent Anderson,Anderson,157,"5,258","28,548","$717,819"
7,IN,Ascension St. Vincent Kokomo,Kokomo,129,"4,640","18,717","$626,579"
8,IN,Ascension St. Vincent Plainfield,Plainfield,0,0,0,$0
9,IN,Baptist Health Floyd,New Albany,248,"11,777","58,599","$2,186,235"
10,IN,Bluffton Regional Medical Center,Bluffton,54,"1,059","3,710","$214,246"
11,IN,Clark Memorial Hospital,Jeffersonville,168,"7,520","39,066","$755,753"
12,IN,Columbus Regional Hospital,Columbus,266,"9,199","37,514","$816,576"
13,IN,Community Fairbanks Recovery Center,Indianapolis,52,"2,086","8,924","$38,835"
14,IN,Community Heart And Vascular Hospital,Indianapolis,56,"2,545","10,385","$376,887"
15,IN,Community Hospital,Munster,399,"15,599","85,109","$2,251,295"
16,IN,Community Hospital Anderson,Anderson,124,"5,700","26,301","$716,249"
17,IN,Community Hospital East,Indianapolis,366,"20,497","101,422","$3,535,657"
18,IN,Community Hospital North,Indianapolis,328,"16,839","91,323","$1,742,611"
19,IN,Community Hospital South,Indianapolis,169,"9,419","42,473","$1,069,716"
20,IN,Community Howard Regional Health,Kokomo,113,"4,631","19,760","$674,599"
21,IN,Danville Hospital (Main Campus),Danville,130,"5,374","22,971","$1,064,003"
22,IN,Daviess Community Hospital,Washington,68,"1,271","4,358","$170,454"
23,IN,Deaconess Gateway Hospital,Newburgh,0,0,0,$0
24,IN,Deaconess Midtown Hospital,Evansville,545,"31,383","157,298","$3,582,625"
25,IN,Dupont Hospital,Fort Wayne,131,"4,925","21,084","$991,633"
26,IN,Elkhart General Hospital,Elkhart,244,"9,727","51,145","$1,051,000"
27,IN,Fort Wayne VA Medical Center,Fort Wayne,0,0,0,$0
28,IN,Franciscan Health Crawfordsville,Crawfordsville,40,982,"4,343","$271,641"
29,IN,Franciscan Health Indianapolis,Indianapolis,519,"19,474","106,327","$3,645,737"
30,IN,Franciscan Health Lafayette East,Lafayette,199,"10,419","45,105","$1,514,921"
31,IN,Franciscan Beacon Hospital,La Porte,8,125,330,"$29,618"
32,IN,Franciscan Health Michigan City,Michigan City,113,"7,132","28,720","$1,030,883"
33,IN,Franciscan Health Mooresville Campus,Mooresville,80,"2,238","8,168","$597,700"
34,IN,Franciscan Health Munster,Munster,75,"2,862","14,520","$520,539"
35,IN,Franciscan Health Carmel,Carmel,6,268,439,"$28,275"
36,IN,Franciscan Health Crown Point,Crown Point,192,"9,428","39,279","$1,018,009"
37,IN,Franciscan Health Dyer Campus,Dyer,142,"4,194","21,214","$616,285"
38,IN,Franciscan Health Orthopedic Hospital Carmel,Carmel,0,0,0,$0
39,IN,Good Samaritan Hospital,Vincennes,144,"4,051","17,263","$660,620"
40,IN,Goshen Hospital,Goshen,109,"4,426","22,097","$786,645"
41,IN,Hancock Regional Hospital,Greenfield,95,"3,027","10,900","$442,597"
42,IN,Hendricks Regional Health Brownsburg Hospital,Brownsburg,0,0,0,$0
43,IN,Henry Community Health,New Castle,48,"2,437","9,684","$392,510"
44,IN,IU Health Arnett Hospital,Lafayette,185,"11,677","50,739","$1,614,903"
45,IN,IU Health Ball Memorial Hospital,Muncie,330,"15,009","82,884","$2,236,726"
46,IN,IU Health Bloomington Hospital,Bloomington,270,"12,006","62,579","$1,985,810"
47,IN,IU Health Methodist University,Indianapolis,"1,271","44,898","311,967","$9,464,426"
48,IN,IU Health North Hospital,Carmel,149,"10,081","36,766","$1,270,096"
49,IN,IU Health Saxony Hospital,Fishers,0,0,0,$0
50,IN,IU Health University Hospital,Indianapolis,0,0,0,$0
51,IN,IU Health West Hospital,Avon,156,"8,627","42,031","$1,193,776"
52,IN,Johnson Memorial Health,Franklin,49,"2,091","7,546","$327,454"
53,IN,Logansport Memorial Hospital,Logansport,37,"1,421","5,805","$263,747"
54,IN,Lutheran Downtown Hospital,Fort Wayne,60,"1,501","7,430","$219,024"
55,IN,Lutheran Health Network The Orthopedic Hospital,Fort Wayne,39,"1,591","3,696","$796,748"
56,IN,Lutheran Hospital,Fort Wayne,387,"17,611","97,561","$3,675,310"
57,IN,Lutheran Kosciusko Hospital,Warsaw,72,"2,983","12,292","$821,276"
58,IN,Marion General Hospital,Marion,126,"4,026","18,292","$558,390"
59,IN,Memorial Hospital,South Bend,449,"18,675","105,196","$1,817,007"
60,IN,Memorial Hospital and Health Care Center,Jasper,128,"3,238","14,943","$719,999"
61,IN,Methodist Hospitals - Northlake Campus,Gary,453,"11,507","80,401","$1,469,792"
62,IN,Methodist Hospitals - Southlake Campus,Merrillville,319,"12,715","61,757",$0
63,IN,MHP Medical Center,Shelbyville,46,"2,614","11,186","$497,155"
64,IN,Mishawaka Medical Center,Mishawaka,253,"11,828","60,283","$1,203,536"
65,IN,Monroe Hospital,Bloomington,32,952,"3,777","$135,077"
66,IN,Northwest Health - La Porte,La Porte,74,"4,599","23,344","$735,940"
67,IN,Northwest Health - Portage,Portage,0,0,0,$0
68,IN,Northwest Health - Porter,Valparaiso,252,"11,521","57,720","$2,395,331"
69,IN,Northwest Health - Starke,Knox,15,473,"1,778","$79,136"
70,IN,Norton King's Daughters' Health,Madison,61,"2,627","11,500","$430,412"
71,IN,NW Indiana 24/7 ER & Hospital,Hammond,0,0,0,$0
72,IN,OrthoIndy Northwest Hospital,Indianapolis,38,"1,929","2,968","$451,204"
73,IN,Parkview DeKalb Hospital,Auburn,64,"1,613","4,662","$236,493"
74,IN,Parkview Hospital Randallia,Fort Wayne,0,0,0,$0
75,IN,Parkview Huntington Hospital,Huntington,36,"1,550","4,943","$241,393"
76,IN,Parkview Noble Hospital,Kendallville,31,"1,867","5,615","$240,820"
77,IN,Parkview Ortho Hospital,Fort Wayne,37,303,510,"$567,162"
78,IN,Parkview Regional Medical Center,Fort Wayne,938,"52,310","196,451","$5,255,781"
79,IN,Parkview Whitley Hospital,Columbia City,30,"1,950","5,874","$301,285"
80,IN,Peyton Manning Children's Hospital at Ascension St. Vincent in Indianapolis,Indianapolis,0,0,0,$0
81,IN,Pinnacle Hospital,Crown Point,18,630,"1,910","$346,575"
