,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,KY,AdventHealth Manchester,Manchester,49,"1,442","7,895","$264,202"
1,KY,Baptist Health Corbin,Corbin,221,"9,047","45,705","$1,525,860"
2,KY,Baptist Health Deaconess Madisonville,Madisonville,159,"5,703","33,005","$1,209,819"
3,KY,Baptist Health Hardin,Elizabethtown,262,"11,527","60,493","$2,045,466"
4,KY,Baptist Health LaGrange,La Grange,42,"1,583","5,787","$1,740,859"
5,KY,Baptist Health Lexington,Lexington,402,"20,086","111,021","$4,472,304"
6,KY,Baptist Health Louisville,Louisville,486,"24,880","121,980","$4,177,386"
7,KY,Baptist Health Paducah,Paducah,176,"10,025","42,144","$2,350,969"
8,KY,Baptist Health Richmond,Richmond,50,"3,698","14,713","$813,473"
9,KY,Blanchfield Army Community Hospital,Fort Campbell,0,0,0,$0
10,KY,Bourbon Community Hospital,Paris,58,"1,047","4,948","$162,062"
11,KY,CHI Saint Joseph East,Lexington,160,"5,741","26,735","$675,005"
12,KY,CHI Saint Joseph Health Hospital,Lexington,255,"10,296","64,995","$1,098,774"
13,KY,Clark Regional Medical Center,Winchester,79,"3,673","13,591","$693,920"
14,KY,Crittenden Community Hospital,Marion,48,379,"1,335","$40,231"
15,KY,Deaconess Henderson Hospital,Henderson,118,"3,369","12,806","$386,132"
16,KY,Ephraim McDowell Regional Medical Center,Danville,164,"5,737","28,882","$666,058"
17,KY,Federal Medical Center Lexington,Lexington,0,0,0,$0
18,KY,Flaget Memorial Hospital,Bardstown,52,"1,694","7,302","$328,167"
19,KY,Frankfort Regional Medical Center,Frankfort,126,"5,727","28,961","$781,893"
20,KY,Georgetown Community Hospital,Georgetown,75,"1,960","7,098","$540,603"
21,KY,Harlan ARH Hospital,Harlan,103,"2,806","11,250","$312,355"
22,KY,Harrison Memorial Hospital,Cynthiana,34,"1,392","5,413","$203,219"
23,KY,Hazard ARH Regional Medical Center,Hazard,300,"8,412","46,289","$1,123,036"
24,KY,Highlands ARH Regional Medical Center,Prestonsburg,170,"3,668","19,306","$520,551"
25,KY,Jackson Purchase Medical Center,Mayfield,107,"3,805","18,607","$549,014"
26,KY,Jennie Stuart Medical Center,Hopkinsville,135,"3,898","19,042","$559,463"
27,KY,Kentucky River Medical Center,Jackson,49,"1,507","5,283","$231,489"
28,KY,King's Daughters Medical Center,Ashland,367,"18,047","87,027","$2,349,649"
29,KY,Lake Cumberland Regional Hospital,Somerset,216,"7,508","40,345","$1,586,682"
30,KY,Lexington VA Medical Center Troy Bowling Campus,Lexington,0,0,0,$0
31,KY,Logan Memorial Hospital,Russellville,75,482,"1,921","$136,411"
32,KY,Louisville VA Medical Center,Louisville,0,0,0,$0
