,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,MA,AdCare Hospital,Worcester,114,"5,792","36,054","$75,154"
1,MA,Addison Gilbert Hospital,Gloucester,79,"2,538","11,812","$44,239"
2,MA,Anna Jaques Hospital,Newburyport,136,"4,665","24,454","$286,062"
3,MA,Baystate Franklin Medical Center,Greenfield,89,"4,276","19,534","$295,729"
4,MA,Baystate Medical Center,Springfield,767,"38,909","227,846","$3,439,323"
5,MA,Baystate Noble Hospital,Westfield,85,"3,135","15,056","$201,719"
6,MA,Baystate Wing Hospital,Palmer,68,"3,121","14,521","$254,733"
7,MA,Berkshire Medical Center,Pittsfield,272,"10,448","53,230","$1,182,363"
8,MA,Beth Israel Deaconess Hospital Milton,Milton,102,"5,335","23,748","$311,268"
9,MA,Beth Israel Deaconess Hospital-Plymouth,Plymouth,169,"10,169","49,800","$813,784"
10,MA,Beth Israel Deaconess Medical Center,Boston,730,"35,447","236,323","$3,828,975"
11,MA,Beth Israel Deaconess Needham,Needham,58,"4,013","17,301","$297,192"
12,MA,Beverly Hospital,Beverly,337,"17,565","75,199","$999,991"
13,MA,Boston Medical Center,Boston,440,"21,560","152,664","$3,156,241"
14,MA,Brigham and Women's Faulkner Hospital,Boston,171,"7,385","38,594","$1,019,875"
15,MA,Brigham and Women's Hospital,Boston,812,"40,183","301,660","$9,116,892"
16,MA,Brockton VA Medical Center,Brockton,0,0,0,$0
17,MA,Cape Cod Hospital,Hyannis,259,"15,937","71,407","$1,537,767"
18,MA,Carney Hospital,Dorchester,122,"3,484","20,760","$170,606"
19,MA,CHA Cambridge Hospital,Cambridge,253,"6,692","39,011","$914,535"
20,MA,CHA Everett Hospital,Everett,0,0,0,$0
21,MA,CHA Somerville Hospital,Somerville,0,0,0,$0
22,MA,Charlton Memorial Hospital,Fall River,669,"27,594","158,390","$2,600,713"
23,MA,Cooley Dickinson Hospital,Northampton,140,"6,363","26,455","$662,310"
24,MA,Dana-Farber Cancer Institute,Boston,30,"1,290","9,609","$5,408,632"
25,MA,Edith Nourse Rogers Memorial Veterans Hospital,Bedford,0,0,0,$0
26,MA,Emerson Hospital,Concord,160,"6,833","25,107","$841,142"
27,MA,Falmouth Hospital,Falmouth,81,"4,772","21,340","$481,999"
28,MA,Framingham Union Hospital,Framingham,230,"7,224","33,563","$1,213,077"
29,MA,Good Samaritan Medical Center,Brockton,262,"13,785","63,033","$622,667"
30,MA,Heywood Hospital,Gardner,134,"3,259","15,559","$334,796"
31,MA,Holy Family Hospital - Methuen,Methuen,310,"11,897","57,790","$541,320"
32,MA,Holy Family Hospital -Haverhill,Haverhill,122,"2,814","12,549","$112,225"
33,MA,Holyoke Medical Center,Holyoke,219,"5,990","34,528","$530,568"
34,MA,Lahey Hospital and Medical Center,Burlington,345,"20,747","118,448","$2,270,963"
35,MA,"Lahey Medical Center, Peabody",Peabody,0,0,0,$0
36,MA,Lawrence General Hospital,Lawrence,186,"10,521","45,639","$672,637"
37,MA,Lawrence Memorial Hospital of Medford,Medford,216,"7,617","35,168","$497,144"
38,MA,Leonard Morse Hospital,Natick,0,0,0,$0
39,MA,Lowell General - Saints Campus,Lowell,157,"4,634","20,198","$283,531"
40,MA,Lowell General Hospital,Lowell,390,"18,161","88,867","$1,317,115"
41,MA,Massachusetts Eye and Ear Infirmary,Boston,41,"1,075","4,610","$588,286"
42,MA,Massachusetts General Hospital,Boston,"1,021","44,240","337,056","$11,897,268"
43,MA,MelroseWakefield Hospital,Melrose,0,0,0,$0
44,MA,Mercy Medical Center,Springfield,180,"8,017","36,081","$647,792"
45,MA,Milford Regional Medical Center,Milford,148,"9,045","37,804","$628,090"
46,MA,Morton Hospital,Taunton,116,"5,862","26,469","$295,183"
47,MA,Mount Auburn Hospital,Cambridge,201,"12,571","53,862","$588,564"
48,MA,Nantucket Cottage Hospital,Nantucket,14,517,"3,385","$120,249"
49,MA,Nashoba Valley Medical Center,Ayer,77,"1,610","5,236","$169,612"
50,MA,New England Baptist Hospital,Boston,75,"3,690","9,809","$391,168"
51,MA,Newton-Wellesley Hospital,Newton,261,"15,827","74,345","$1,866,862"
52,MA,Saint Anne's Hospital,Fall River,206,"9,138","41,223","$791,516"
53,MA,Saint Elizabeth's Medical Center,Brighton,302,"10,682","58,059","$811,591"
54,MA,Saint Vincent Hospital,Worcester,268,"13,790","63,146","$2,086,115"
55,MA,Salem Hospital,Salem,358,"15,008","79,444","$1,718,640"
56,MA,South Shore Hospital,South Weymouth,374,"29,619","131,636","$1,362,816"
57,MA,St. Luke's Hospital,New Bedford,0,0,0,$0
58,MA,Sturdy Health,Attleboro,125,"7,105","32,268","$471,577"
59,MA,Tobey Hospital,Wareham,0,0,0,$0
60,MA,Tufts Medical Center,Boston,405,"16,041","98,931","$2,410,398"
61,MA,UMass Memorial Health Alliance - Clinton Hospital,Clinton,41,573,"2,111","$91,620"
62,MA,UMass Memorial Health Harrington,Southbridge,129,"4,339","28,297","$451,216"
63,MA,"UMass Memorial HealthAlliance - Clinton Hospital, Leominster Campus",Leominster,145,"7,660","33,703","$698,864"
64,MA,UMass Memorial Marlborough Hospital,Marlborough,67,"2,996","19,790","$346,715"
65,MA,UMass Memorial Medical Center - Memorial Campus,Worcester,0,0,0,$0
66,MA,UMass Memorial Medical Center - University Campus,Worcester,697,"35,033","241,442","$6,432,731"
67,MA,VA Boston Healthcare System - Jamaica Plain Division,Boston,0,0,0,$0
68,MA,West Roxbury VA Medical Center,West Roxbury,0,0,0,$0
69,MA,Winchester Hospital,Winchester,178,"12,225","55,837","$698,391"
