,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,MI,Ascension Saint John Hospital,Detroit,619,"25,444","148,074","$2,694,080"
1,MI,Munson Healthcare Manistee Hospital,Manistee,45,909,"3,488","$179,529"
2,MI,Aleda E. Lutz VA Medical Center,Saginaw,0,0,0,$0
3,MI,Ascension Borgess Hospital,Kalamazoo,353,"11,799","56,219","$1,674,199"
4,MI,Ascension Brighton Center for Recovery,Brighton,99,"1,346","12,788","$16,043"
5,MI,Ascension Genesys Hospital,Grand Blanc,373,"18,386","89,306","$1,376,977"
6,MI,"Ascension Macomb - Oakland Hospital, Warren Campus",Warren,518,"22,432","121,683","$1,653,112"
7,MI,"Ascension Macomb-Oakland Hospital, Madison Heights Campus",Madison Heights,159,"6,832","31,318","$263,533"
8,MI,Ascension Providence Hospital - Novi Campus,Novi,0,0,0,$0
9,MI,Ascension Providence Hospital - Southfield Campus,Southfield,599,"30,471","147,998","$2,589,837"
10,MI,Ascension Providence Rochester Hospital,Rochester,202,"9,609","41,036","$754,019"
11,MI,Ascension River District Hospital,East China Township,68,873,"2,915","$74,371"
12,MI,Ascension St. Joseph Hospital,Tawas City,47,"1,365","4,568","$114,776"
13,MI,Ascension St. Mary's Hospital,Saginaw,226,"8,490","43,769","$984,220"
14,MI,Battle Creek VA Medical Center,Battle Creek,0,0,0,$0
15,MI,"Beaumont Hospital, Dearborn",Dearborn,567,"22,826","151,457","$3,222,315"
16,MI,"Beaumont Hospital, Farmington Hills",Farmington Hills,267,"11,515","61,671","$1,785,845"
17,MI,"Beaumont Hospital, Grosse Pointe",Grosse Pointe,248,"9,435","42,355","$1,155,732"
18,MI,"Beaumont Hospital, Royal Oak",Royal Oak,"1,120","45,700","278,078","$6,238,030"
19,MI,"Beaumont Hospital, Taylor",Taylor,148,"4,702","27,282","$851,159"
20,MI,"Beaumont Hospital, Trenton",Trenton,193,"9,015","44,816","$1,064,385"
21,MI,"Beaumont Hospital, Troy",Troy,499,"29,096","151,334","$3,357,312"
22,MI,"Beaumont Hospital, Wayne",Wayne,86,"5,452","29,576","$819,231"
23,MI,Bronson Battle Creek Hospital,Battle Creek,169,"7,087","33,714","$753,965"
24,MI,Bronson Methodist Hospital,Kalamazoo,415,"23,199","114,896","$2,620,327"
25,MI,Bronson South Haven Hospital,South Haven,8,423,"1,556","$86,991"
26,MI,Chelsea Hospital,Chelsea,133,"3,347","12,768","$633,130"
27,MI,Corewell Health Watervliet Hospital,Watervliet,44,35,59,"$120,836"
28,MI,Covenant Medical Center Cooper,Saginaw,0,0,0,$0
29,MI,Covenant Medical Center Harrison,Saginaw,525,"21,316","130,739","$2,474,894"
30,MI,DMC Detroit Receiving Hospital,Detroit,223,"9,803","66,377","$1,420,601"
31,MI,DMC Harper University Hospital,Detroit,328,"14,014","75,422","$1,909,337"
32,MI,DMC Huron Valley-Sinai Hospital,Commerce,153,"6,695","27,911","$904,725"
33,MI,DMC Sinai-Grace Hospital,Detroit,311,"13,838","80,658","$1,573,981"
34,MI,Forest Health Medical Center Michigan,Ypsilanti,24,682,"1,051","$110,242"
35,MI,Garden City Hospital,Garden City,164,"6,539","29,612","$561,723"
36,MI,Healthsource Saginaw,Saginaw,347,321,"1,049","$65,997"
37,MI,Henry Ford Hospital,Detroit,672,"31,848","189,551","$5,616,835"
38,MI,Henry Ford Jackson Hospital,Jackson,372,"15,208","76,305","$2,227,550"
39,MI,Henry Ford Macomb Hospital - Clinton Township,Clinton Township,415,"18,888","93,604","$1,695,937"
40,MI,Henry Ford West Bloomfield Hospital,West Bloomfield,191,"13,711","52,415","$1,282,747"
41,MI,Henry Ford Wyandotte Hospital,Wyandotte,352,"14,066","61,901","$1,181,359"
42,MI,Hillsdale Hospital,Hillsdale,90,"1,499","4,421","$162,637"
43,MI,Holland Hospital,Holland,189,"6,722","32,105","$755,885"
44,MI,Hurley Medical Center,Flint,419,"13,307","86,073","$1,407,409"
45,MI,Insight Surgical Hospital,Warren,13,176,511,"$175,147"
46,MI,John D. Dingell Department of Veterans Affairs Medical Center,Detroit,0,0,0,$0
47,MI,Karmanos Cancer Hospital,Detroit,106,"2,183","21,047","$1,031,696"
48,MI,Lake Huron Medical Center,Port Huron,164,"2,967","13,228","$354,557"
49,MI,Marshfield Medical Center Dickinson,Iron Mountain,49,"1,857","8,131","$335,839"
50,MI,McLaren Bay Region,Bay City,332,"10,716","59,923","$1,127,763"
51,MI,McLaren Central Michigan,Mount Pleasant,49,"1,833","7,227","$378,362"
52,MI,McLaren Flint Hospital,Flint,332,"12,863","73,717","$1,603,318"
53,MI,McLaren Greater Lansing,Lansing,199,"10,689","53,023","$1,417,591"
54,MI,McLaren Lapeer Region,Lapeer,129,"4,653","20,065","$464,893"
55,MI,McLaren Macomb Hospital,Mount Clemens,304,"10,322","62,926","$1,149,655"
56,MI,McLaren Northern Michigan,Petoskey,192,"7,864","32,300","$692,815"
57,MI,McLaren Oakland,Pontiac,167,"3,277","18,768","$553,848"
58,MI,McLaren Port Huron Hospital,Port Huron,175,"9,977","39,821","$733,342"
59,MI,Memorial Healthcare,Owosso,145,"4,374","18,093","$888,266"
60,MI,Munson Healthcare Cadillac Hospital,Cadillac,49,"2,500","10,517","$363,418"
61,MI,Munson Healthcare Grayling Hospital,Grayling,81,"1,874","7,059","$260,528"
