,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,NJ,Palisades Medical Center,North Bergen,186,"6,567","31,596","$868,235"
1,NJ,"AtlantiCare Regional Medical Center, Atlantic City Campus",Atlantic City,540,"25,581","127,462","$3,646,443"
2,NJ,"AtlantiCare Regional Medical Center, Mainland Campus",Pomona,0,0,0,$0
3,NJ,Bayonne Medical Center,Bayonne,152,"4,004","21,452","$2,340,765"
4,NJ,Bayshore Medical Center,Holmdel,175,"7,654","40,326","$928,987"
5,NJ,Bergen New Bridge Medical Center,Paramus,"1,020","4,260","17,034","$539,821"
6,NJ,Cape Regional Medical Center,Cape May Court House,149,"6,281","26,701","$903,199"
7,NJ,Capital Health Medical Center - Hopewell,Pennington,203,"11,145","60,204","$6,390,189"
8,NJ,Capital Health Regional Medical Center,Trenton,179,"6,943","49,588","$4,594,857"
9,NJ,CareWell Health Medical Center,East Orange,201,"4,178","19,879","$429,945"
10,NJ,CentraState Medical Center,Freehold,239,"12,310","64,053","$1,144,597"
11,NJ,Chilton Medical Center,Pompton Plains,200,"7,954","35,608",$0
12,NJ,Christ Hospital,Jersey City,163,"5,617","38,324","$3,089,150"
13,NJ,Clara Maass Medical Center,Belleville,342,"13,505","73,834","$1,626,392"
14,NJ,Community Medical Center,Toms River,438,"23,278","116,408","$2,298,168"
15,NJ,Cooper University Hospital,Camden,564,"33,090","186,283","$5,694,688"
16,NJ,Cooperman Barnabas Medical Center,Livingston,544,"32,919","164,215","$3,811,641"
17,NJ,Deborah Heart and Lung Center,Browns Mills,86,"3,838","21,081","$1,076,332"
18,NJ,East Orange VA Medical Center,East Orange,0,0,0,$0
19,NJ,Englewood Health,Englewood,288,"14,711","68,791","$5,326,963"
20,NJ,Hackensack Meridian Mountainside Medical Center,Montclair,219,"9,216","41,683","$1,252,232"
21,NJ,Hackensack Meridian Pascack Valley Medical Center,Westwood,78,"4,111","15,694","$530,067"
22,NJ,Hackensack Meridian Southern Ocean Medical Center,Manahawkin,167,"7,604","34,684","$1,068,228"
23,NJ,Hackensack University Medical Center,Hackensack,702,"40,402","223,864","$6,449,047"
24,NJ,Hackettstown Medical Center,Hackettstown,82,"3,859","18,202","$721,513"
25,NJ,Hoboken University Medical Center,Hoboken,180,"3,718","19,516","$2,473,233"
26,NJ,Holy Name Medical Center,Teaneck,312,"9,285","57,100","$1,775,219"
27,NJ,Hudson Regional Hospital,Secaucus,106,"3,803","14,178","$1,088,646"
28,NJ,Hunterdon Medical Center,Flemington,184,"8,070","39,644","$1,151,341"
29,NJ,Inspira Medical Center Elmer,Elmer,275,"13,139","65,690","$1,701,543"
30,NJ,Inspira Medical Center Mullica Hill,Mullica Hill,0,0,0,$0
31,NJ,Inspira Medical Center Vineland,Vineland,347,"15,668","81,379","$2,358,267"
32,NJ,Jefferson Washington Township Hospital,Turnersville,0,0,0,$0
33,NJ,Jefferson Cherry Hill Hospital,Cherry Hill,546,"25,430","123,152","$3,780,605"
34,NJ,Jefferson Stratford Hospital,Stratford,0,0,0,$0
35,NJ,Jersey City Medical Center,Jersey City,340,"15,024","68,514","$2,067,116"
36,NJ,Jersey Shore University Medical Center,Neptune,604,"32,203","164,101","$4,294,402"
