,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,NY,Long Island Community Hospital,Patchogue,165,"8,228","46,436","$1,552,498"
1,NY,A.O. Fox Hospital,Oneonta,184,"1,509","6,988","$197,774"
2,NY,Adirondack Medical Center - Sarnac Lake,Saranac Lake,155,"1,923","7,724","$328,239"
3,NY,Albany Medical Center,Albany,789,"34,232","213,760","$3,459,069"
4,NY,Albany Stratton VA Medical Center,Albany,0,0,0,$0
5,NY,Alice Hyde Medical Center,Malone,175,907,"4,290","$244,036"
6,NY,ArchCare at Terence Cardinal Cooke Health Care Center,New York,615,1,"20,564","$178,560"
7,NY,Arnot Ogden Medical Center,Elmira,356,"7,590","42,511","$875,275"
8,NY,Auburn Community Hospital,Auburn,179,"4,893","19,795","$344,726"
9,NY,Bassett Medical Center,Cooperstown,180,"8,100","43,788","$1,282,081"
10,NY,Batavia VA Medical Center,Batavia,0,0,0,$0
11,NY,Bath VA Medical Center,Bath,0,0,0,$0
12,NY,Bellevue Woman's Center,Niskayuna,40,"2,197","11,616","$49,835"
13,NY,Bertrand Chaffee Hospital,Springville,103,836,"3,051","$53,444"
14,NY,Bon Secours Community Hospital,Port Jervis,168,"2,589","12,972","$552,377"
15,NY,"BronxCare Dr. Martin Luther King, Jr. Health Center",Bronx,558,"23,081","136,485","$1,216,549"
16,NY,BronxCare Special Care Center,Bronx,0,0,0,$0
17,NY,Brookdale University Hospital and Medical Center,Brooklyn,"1,303","21,788","152,441","$1,820,460"
18,NY,Brooklyn VA Medical Center,Brooklyn,0,0,0,$0
19,NY,Brooks- TLC Hospital System,Dunkirk,65,"1,673","7,997","$108,648"
20,NY,Buffalo General Medical Center,Buffalo,"1,068","47,014","278,923","$4,022,662"
21,NY,Buffalo VA Medical Center,Buffalo,0,0,0,$0
22,NY,Burdett Birth Center at Samaritan Hospital,Troy,0,0,0,$0
23,NY,Canandaigua VA Medical Center,Canandaigua,0,0,0,$0
24,NY,Canton-Potsdam Hospital,Potsdam,94,"4,450","20,896","$496,470"
25,NY,Catholic Health Mercy Hospital,Rockville Centre,375,"8,459","45,070","$1,296,363"
26,NY,Catholic Health Saint Catherine of Siena Hospital,Smithtown,536,"9,480","46,239","$1,119,807"
27,NY,Catholic Health Saint Charles Hospital,Port Jefferson,243,"8,806","46,047","$960,515"
28,NY,Catholic Health Saint Francis Hospital & Heart Center,Roslyn,364,"19,700","102,235","$4,053,064"
29,NY,Catholic Health St. Joseph Hospital,Bethpage,203,"5,688","29,745","$723,480"
30,NY,Cayuga Medical Center,Ithaca,124,"6,050","30,954","$588,078"
31,NY,Claxton-Hepburn Medical Center,Ogdensburg,66,"1,826","9,992","$255,232"
32,NY,Clifton Springs Hospital and Clinic,Clifton Springs,203,"1,897","13,453","$239,884"
33,NY,Columbia Memorial Hospital,Hudson,192,"3,462","26,912","$539,774"
34,NY,Cornerstone of Fresh Meadows,Fresh Meadows,0,0,0,$0
35,NY,Crouse Hospital,Syracuse,502,"17,613","123,526","$993,581"
36,NY,ECMC Hospital,Buffalo,956,"15,904","119,651","$1,364,045"
37,NY,Ellis Hospital,Schenectady,356,"13,294","73,775","$1,378,070"
38,NY,F.F. Thompson Hospital,Canandaigua,291,"4,554","25,732","$492,802"
39,NY,Flushing Hospital Medical Center,Flushing,253,"10,049","55,309","$425,954"
40,NY,Franklin Delano Roosevelt Hospital,Montrose,0,0,0,$0
41,NY,Garnet Health Medical Center,Middletown,383,"19,340","102,602","$2,005,215"
42,NY,"Garnet Health Medical Center - Catskills, Harris Campus",Harris,151,"3,429","18,120","$411,436"
43,NY,Geneva General Hospital,Geneva,462,"2,891","14,589","$286,125"
44,NY,Glen Cove Hospital,Glen Cove,119,"3,190","16,070","$694,594"
45,NY,Glens Falls Hospital,Glens Falls,391,"10,522","54,348","$1,056,464"
46,NY,Good Samaritan Hospital,Suffern,286,"13,889","66,652","$2,312,679"
47,NY,Good Samaritan University Hospital,West Islip,437,"22,808","121,091","$3,619,748"
48,NY,Guthrie Corning Hospital,Corning,65,"3,967","16,623","$671,590"
49,NY,Guthrie Cortland Medical Center,Cortland,173,"2,817","12,044","$325,249"
50,NY,HealthAlliance Hospital,Kingston,149,"5,401","26,385","$826,905"
51,NY,Helen Hayes Hospital,West Haverstraw,155,0,0,"$138,096"
52,NY,Highland Hospital,Rochester,261,"15,399","92,372","$1,136,463"
53,NY,Hospital for Special Surgery,New York,205,"12,510","35,657","$2,523,298"
54,NY,Huntington Hospital,Huntington,280,"17,282","75,779","$1,578,852"
