,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,OK,AllianceHealth Durant,Durant,105,"5,972","22,016","$1,311,483"
1,OK,AllianceHealth Ponca City,Ponca City,47,"1,883","8,730","$411,925"
2,OK,AllianceHealth Woodward,Woodward,40,"1,038","4,431","$251,978"
3,OK,Ascension Saint John Broken Arrow,Broken Arrow,44,"1,631","4,867","$273,040"
4,OK,Ascension Saint John Owasso,Owasso,36,"1,606","5,716","$146,290"
5,OK,Ascension St. John Jane Phillips,Bartlesville,114,"3,724","17,675","$416,815"
6,OK,Bailey Medical Center,Owasso,73,"1,464","3,398","$338,290"
7,OK,Chickasaw Nation Medical Center,Ada,72,"2,543","9,088",$0
8,OK,Choctaw Memorial Hospital,Hugo,34,681,"3,134","$36,529"
9,OK,Claremore Indian Hospital,Claremore,46,809,"2,746",$0
10,OK,Comanche County Memorial Hospital,Lawton,220,"10,168","50,374","$1,200,519"
11,OK,Community Hospital,Oklahoma City,45,"2,418","4,399","$607,211"
12,OK,DRH Health,Duncan,110,"3,870","18,052","$510,136"
13,OK,Elkview General Hospital,Hobart,38,417,"1,254","$25,252"
14,OK,Grady Memorial Hospital,Chickasha,48,845,"4,235","$129,011"
15,OK,Great Plains Regional Medical Center,Elk City,62,"1,592","5,354","$184,204"
16,OK,Heart Hospital at Saint Francis,Tulsa,104,"6,441","28,194","$642,767"
17,OK,Hillcrest Hospital Claremore,Claremore,41,"2,547","9,036","$408,649"
18,OK,Hillcrest Hospital Cushing,Cushing,24,367,"1,753","$67,833"
19,OK,Hillcrest Hospital Henryetta,Henryetta,15,665,"3,314","$88,072"
20,OK,Hillcrest Hospital Pryor,Pryor,14,461,"1,674","$148,040"
21,OK,Hillcrest Hospital South,Tulsa,150,"8,865","43,893","$1,066,018"
22,OK,Hillcrest Medical Center,Tulsa,450,"18,989","114,055","$3,835,859"
23,OK,INTEGRIS Baptist Medical Center,Oklahoma City,650,"24,906","174,648","$5,277,895"
