,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,PA,Chester County Hospital,West Chester,309,"23,778","74,349","$1,938,095"
1,PA,Reading Hospital,West Reading,665,"30,475","163,651","$3,885,199"
2,PA,UPMC Hamot,Erie,456,"18,014","111,936","$3,854,585"
3,PA,UPMC Magee-Womens Hospital,Pittsburgh,337,"18,337","92,862","$5,122,361"
4,PA,Advanced Surgical Hospital,Washington,14,533,"1,082","$78,968"
5,PA,AHN Brentwood Neighborhood Hospital,Brentwood,0,0,0,$0
6,PA,AHN Grove City,Grove City,67,977,"3,437","$210,702"
7,PA,AHN Harmar Neighborhood Hospital,Pittsburgh,0,0,0,$0
8,PA,AHN Hempfield Neighborhood Hospital,Greensburg,40,407,"1,532","$203,187"
9,PA,AHN McCandless Neighborhood Hospital,Pittsburgh,0,0,0,$0
10,PA,AHN Wexford Hospital,Wexford,144,"5,478","11,295","$510,034"
11,PA,Allegheny General Hospital,Pittsburgh,552,"19,106","118,447","$3,502,189"
12,PA,Allegheny Valley Hospital,Natrona Heights,188,"2,739","12,699","$462,431"
13,PA,Armstrong County Memorial Hospital,Kittanning,162,"2,805","16,247","$399,334"
14,PA,Berwick Hospital Center,Berwick,90,488,"1,567","$192,458"
15,PA,Bradford Regional Medical Center,Bradford,202,"2,904","14,778","$142,994"
16,PA,Bryn Mawr Hospital,Bryn Mawr,284,"13,757","57,997","$1,707,372"
17,PA,Butler Memorial Hospital,Butler,283,"9,434","54,423","$1,163,294"
18,PA,Canonsburg Hospital,Canonsburg,104,"1,272","6,118","$253,875"
19,PA,Chan Soon-Shiong Medical Center at Windber,Windber,47,"1,169","2,679","$132,789"
20,PA,Children's Hospital of Philadelphia - Middleman Family Pavilion,King of Prussia,0,0,0,$0
21,PA,Clarion Hospital,Clarion,65,876,"4,243","$140,261"
22,PA,Conemaugh Memorial Medical Center,Johnstown,359,"12,447","72,354","$1,431,073"
23,PA,Conemaugh Memorial Medical Center - Lee Campus,Johnstown,214,"6,951","29,459","$200,471"
24,PA,Conemaugh Nason Medical Center,Roaring Spring,45,"1,597","6,344","$154,246"
25,PA,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,Philadelphia,0,0,0,$0
26,PA,Crozer-Chester Medical Center,Upland,410,"12,416","71,650","$3,506,895"
27,PA,Doylestown Hospital,Doylestown,247,"13,253","49,506","$1,367,818"
28,PA,Eagleville Hospital,Eagleville,83,592,"3,023","$45,156"
29,PA,Edgewood Surgical Hospital,Transfer,10,313,436,"$71,267"
30,PA,Einstein Medical Center Elkins Park,Elkins Park,154,"2,392","12,390","$194,402"
31,PA,Einstein Medical Center Montgomery,East Norriton,175,"11,863","51,545","$1,224,177"
32,PA,Einstein Medical Center Philadelphia,Philadelphia,685,"22,000","108,292","$2,987,610"
33,PA,Erie VA Medical Center,Erie,0,0,0,$0
34,PA,Evangelical Community Hospital,Lewisburg,131,"5,070","21,591","$874,730"
35,PA,Excela Health Frick Hospital,Mount Pleasant,33,"2,004","9,432","$221,594"
36,PA,Excela Health Westmoreland Hospital,Greensburg,309,"13,273","63,978","$829,112"
37,PA,Excela Latrobe Hospital,Latrobe,115,"5,678","25,045","$424,921"
38,PA,Forbes Hospital,Monroeville,290,"11,338","60,605","$1,360,959"
39,PA,Fox Chase Cancer Center,Philadelphia,100,"3,488","19,602","$1,243,367"
40,PA,Geisinger Bloomsburg Hospital,Bloomsburg,60,"2,450","8,094","$399,123"
41,PA,Geisinger Community Medical Center,Scranton,293,"14,253","70,348","$3,283,195"
42,PA,Geisinger Janet Weis Children's Hospital,Danville,0,0,0,$0
43,PA,Geisinger Lewistown Hospital,Lewistown,133,"5,650","23,113","$755,187"
