,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,PR,Ashford Hospital,San Juan,173,"7,683","40,742","$93,840"
1,PR,Auxilio Mutuo Hospital of Puerto Rico,Hato Rey,500,"14,306","93,369","$401,601"
2,PR,Bayamon Medical Center,Bayamon,253,"8,584","44,862","$107,124"
3,PR,Bayamon Regional Hospital,Bayamon,140,"1,578","38,279","$11,576"
4,PR,Bella Vista Hospital,Mayaguez,183,"3,689","19,436","$68,775"
5,PR,Cardiovascular Center of Puerto Rico and the Caribbean,Rio Piedras,155,"2,814","24,498","$90,974"
6,PR,Centro Medico Episcopal San Lucas,Ponce,380,"14,862","80,711","$198,481"
7,PR,Centro Medico Menonita Cayey,Cayey,225,"11,489","63,654","$180,984"
8,PR,Doctor's Center Hospital Bayamon,Bayamon,146,"6,611","44,305","$81,191"
9,PR,Doctors Center Hospital Manati,Manati,258,"12,523","74,845","$184,988"
10,PR,Doctors Center Hospital Orlando Health - Dorado,Dorado,0,0,0,$0
11,PR,Doctors Community Hospital,San Juan,129,"4,667","27,851","$74,179"
12,PR,Doctors' Center Hospital,Manati,109,"6,375","34,158","$69,645"
13,PR,HIMA San Pablo Cupey,San Juan,58,446,"4,436","$10,852"
14,PR,HIMA-San Pablo Hospital-Caguas,Caguas,421,"10,958","78,306","$255,277"
15,PR,HIMA-San Pablo Hospital-Fajardo,Fajardo,179,"1,885","13,308","$29,867"
16,PR,HIMA-San Pablo Hospital-Humacao,Humacao,57,"1,527","10,257","$27,891"
17,PR,Hospital Damas,Ponce,175,"5,681","28,463","$84,874"
18,PR,Hospital Buen Samaritano,Aguadilla,110,"2,901","16,623","$53,261"
19,PR,Hospital Caribbean Medical Center,Fajardo,44,"3,419","15,973","$41,107"
20,PR,Hospital de la Concepcion,San German,186,"7,087","39,998","$192,919"
21,PR,Hospital Del Centro Comprensivo De Cancer,San Juan,29,"1,010","4,073","$38,906"
22,PR,Hospital El Maestro,Hato Rey,125,"2,266","13,420","$27,789"
23,PR,Hospital Episcopal San Lucas,Ponce,136,"6,051","43,313","$106,269"
24,PR,Hospital General Castaner,Castaner,0,0,0,$0
25,PR,Hospital HIMA - San Pablo Bayamon,"Urb. Santa Cruz, Bayamon",424,"9,669","63,228","$235,929"
26,PR,Hospital Menonita Aibonito,Aibonito,134,"5,579","23,572","$98,428"
27,PR,Hospital Menonita Caguas,Caguas,229,"9,204","57,496","$128,701"
28,PR,Hospital Menonita Guayama,Guayama,133,"6,293","27,479","$69,625"
29,PR,Hospital Menonita Humacao,Humacao,71,"3,462","18,871","$41,650"
30,PR,Hospital Menonita Ponce,Coto Laurel,150,"4,300","30,102","$51,386"
31,PR,Hospital Metropolitano De La Montana,Utuado,37,11,39,"$15,825"
32,PR,Hospital Metropolitano Dr. Pila,Ponce,107,"3,402","18,023","$70,910"
33,PR,Hospital Metropolitano Dr. Susoni,Arecibo,119,"5,157","26,856","$83,068"
34,PR,Hospital Metropolitano San German,San German,63,"2,800","13,502","$37,744"
35,PR,"Hospital Metropolitano, Guaynabo",Rio Piedras,132,"3,274","18,522","$77,500"
36,PR,Hospital Oncologico Dr. Isaac Gonzalez Martinez,Rio Piedras,64,"1,328","7,941","$28,301"
37,PR,Hospital Pavia Arecibo,Arecibo,165,"7,631","41,515","$99,687"
38,PR,Hospital Pavia de Hato Rey,Hato Rey,160,"2,425","12,522","$67,964"
39,PR,Hospital Pavia Santurce,San Juan,176,"6,904","42,816","$258,474"
40,PR,"Hospital Perea, Mayaguez",Mayaguez,123,"5,297","28,316","$81,054"
41,PR,Hospital San Antonio,Mayaguez,0,0,0,$0
42,PR,Hospital San Carlos Borromeo,Moca,106,"2,868","14,340","$36,179"
43,PR,Hospital San Francisco,San Juan,136,"3,654","24,530","$76,290"
44,PR,Manati Medical Center,Manati,266,"13,339","67,607","$225,769"
45,PR,Mayaguez Medical Center,Mayaguez,206,"9,492","53,360","$168,825"
46,PR,Pavia Yauco Hospital,Yauco,73,"1,775","8,971","$32,708"
47,PR,Professional Hospital Guaynabo,Guaynabo,72,"1,771","7,977","$31,156"
48,PR,Ryder Memorial Hospital,Humacao,227,"3,079","18,586","$42,899"
49,PR,San Jorge Children's and Women's Hospital,San Juan,0,0,0,$0
50,PR,San Juan City Hospital,San Juan,158,"4,145","25,457","$43,900"
51,PR,The Puerto Rico Medical Services Administration,San Juan,66,"1,331","20,070","$248,075"
52,PR,University District Hospital,San Juan,196,"6,114","54,060","$64,142"
53,PR,"University of Puerto Rico Hospital, Dr. Federico Trilla",Carolina,204,"8,045","49,126","$114,655"
54,PR,VA Caribbean Healthcare System,San Juan,0,0,0,$0
55,PR,Wilma N. Vazquez Medical Center,Vega Baja,120,"2,005","14,825","$83,269"
