,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,TX,Baylor Scott & White Medical Center Plano,Plano,160,"6,445","33,675","$743,060"
1,TX,Baylor Scott & White Medical Center Grapevine,Grapevine,302,"13,313","62,372","$1,137,911"
2,TX,Cuero Regional Hospital,Cuero,44,547,"1,988","$109,590"
3,TX,HCA Houston Healthcare Kingwood,Kingwood,611,"29,758","149,251","$8,185,539"
4,TX,Medical City North Hills,North Richland Hills,142,"8,119","38,271","$1,433,768"
5,TX,Advanced Dallas Hospital and Clinics,Dallas,0,0,0,$0
6,TX,AdventHealth Central Texas,Killeen,208,"7,108","28,247","$665,061"
7,TX,Altus Baytown Hospital,Baytown,14,"4,730","4,730","$318,193"
8,TX,Altus Houston Hospital,Houston,10,"1,756","1,756","$284,547"
9,TX,Altus Lumberton Hospital,Lumberton,4,173,465,"$15,243"
10,TX,Angleton Danbury Hospital,Angleton,62,"2,220","6,324","$88,343"
11,TX,Anson General Hospital,Anson,7,96,323,"$13,294"
12,TX,Arise Austin Medical Center,Austin,21,344,503,"$88,729"
13,TX,Ascension Providence,Waco,273,"13,416","65,236","$1,266,197"
14,TX,Ascension Seton Bastrop,Bastrop,7,165,774,"$119,803"
15,TX,Ascension Seton Hays,Kyle,173,"9,005","46,060","$1,484,639"
16,TX,Ascension Seton Medical Center Austin,Austin,391,"19,675","123,922","$3,613,264"
17,TX,Ascension Seton Northwest,Austin,106,"5,353","23,402","$812,488"
18,TX,Ascension Seton Smithville,Smithville,8,175,"1,523","$71,373"
19,TX,Ascension Seton Southwest,Austin,17,531,"1,676","$178,222"
20,TX,Ascension Seton Williamson,Round Rock,181,"7,455","45,553","$1,562,112"
21,TX,Aspire Behavioral Health Hospital,Conroe,30,0,0,"$45,674"
22,TX,Audie L. Murphy Memorial VA Hospital,San Antonio,0,0,0,$0
23,TX,Baptist Hospitals of Southeast Texas,Beaumont,378,"13,134","69,176","$2,215,672"
24,TX,Baptist Medical Center,San Antonio,"1,561","54,797","287,836","$10,963,349"
25,TX,Baptist Neighborhood Hospital - Hausman,San Antonio,0,0,0,$0
26,TX,Baptist Neighborhood Hospital - Kelly,San Antonio,0,0,0,$0
27,TX,Baptist Neighborhood Hospital - Overlook,San Antonio,0,0,0,$0
28,TX,Baptist Neighborhood Hospital - Schertz,Schertz,0,0,0,$0
29,TX,Baptist Neighborhood Hospital - Westover Hills,San Antonio,0,0,0,$0
30,TX,Baptist Neighborhood Hospital - Zarazmora,San Antonio,0,0,0,$0
