,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,WI,American Family Children's Hospital,Madison,0,0,0,$0
1,WI,Ascension All Saints Hospital - Surgical Services - Spring Street Campus,Racine,299,"9,602","51,443","$950,369"
2,WI,Ascension All Saints Hospital - Wisconsin Avenue Campus,Racine,175,"5,280","32,003","$98,395"
3,WI,Ascension Columbia Saint Mary's - Women's Hospital,Milwaukee,0,0,0,$0
4,WI,Ascension Columbia Saint Mary's Hospital Milwaukee,Milwaukee,394,"11,464","77,348","$1,922,874"
5,WI,Ascension Columbia St. Mary's Hospital - Ozaukee Campus,Mequon,121,"3,799","20,012","$594,840"
6,WI,Ascension NE Wisconsin - Mercy Campus,Oshkosh,110,"3,859","14,268","$231,606"
7,WI,Ascension NE Wisconsin - St. Elizabeth Campus,Appleton,292,"10,946","54,096","$999,681"
8,WI,Ascension SE Wisconsin Hospital - Franklin Campus,Franklin,44,"3,239","12,644","$272,262"
9,WI,Ascension SE Wisconsin Hospital-Elmbrook Campus,Brookfield,108,"5,472","20,971","$310,494"
10,WI,Ascension SE Wisconsin Hospital-St. Joseph Campus,Milwaukee,309,"10,774","60,282","$1,300,222"
11,WI,Ascension St. Francis Hospital,Milwaukee,154,"3,630","21,128","$445,456"
12,WI,Ascension Wisconsin Hospital - Greenfield,Greenfield,0,0,0,$0
13,WI,Ascension Wisconsin Hospital - Menomonee Falls,Menomonee Falls,0,0,0,$0
14,WI,Ascension Wisconsin Hospital - Waukesha,Waukesha,0,0,0,$0
15,WI,Aspirus Divine Savior Hospital,Portage,126,"1,290","5,423","$190,512"
16,WI,Aspirus Plover Hospital,Stevens Point,0,0,0,$0
17,WI,Aspirus Rhinelander Hospital,Rhinelander,42,"2,736","9,866","$445,658"
18,WI,Aspirus Riverview Hospital,Wisconsin Rapids,44,"2,278","11,181","$417,080"
19,WI,Aspirus Stevens Point Hospital,Stevens Point,82,"3,349","11,342","$381,499"
20,WI,Aspirus Wausau Hospital,Wausau,219,"12,237","68,446","$1,790,359"
21,WI,Aurora BayCare Medical Center,Green Bay,169,"8,737","46,515","$1,709,307"
22,WI,Aurora Lakeland Medical Center,Elkhorn,64,"2,428","10,690","$272,276"
23,WI,Aurora Medical Center - Burlington,Burlington,37,"1,913","8,708","$414,213"
24,WI,Aurora Medical Center - Grafton,Grafton,132,"6,731","31,460","$1,046,861"
25,WI,Aurora Medical Center - Kenosha,Kenosha,91,"5,820","26,849","$939,883"
26,WI,Aurora Medical Center - Manitowoc County,Two Rivers,69,"2,128","7,832","$293,094"
27,WI,Aurora Medical Center - Mount Pleasant,Mount Pleasant,0,0,0,$0
28,WI,Aurora Medical Center - Oshkosh,Oshkosh,79,"3,902","16,216","$686,163"
29,WI,Aurora Medical Center - Sheboygan County,Sheboygan,136,"4,872","21,020","$663,413"
30,WI,Aurora Medical Center - Summit,Summit,99,"4,508","21,277","$562,683"
31,WI,Aurora Medical Center - Washington County,Hartford,35,"1,154","4,839","$253,366"
32,WI,Aurora Medical Center-Bay Area,Marinette,55,"2,883","12,220","$431,895"
33,WI,Aurora Saint Luke's South Shore,Cudahy,0,0,0,$0
34,WI,Aurora Sinai Medical Center,Milwaukee,228,"9,256","43,777","$502,034"
35,WI,Aurora St. Luke's Medical Center,Milwaukee,951,"32,981","225,126","$6,996,605"
36,WI,Aurora West Allis Medical Center,West Allis,202,"9,256","47,347","$1,061,474"
37,WI,Bellin Hospital,Green Bay,189,"7,753","39,961","$1,622,987"
38,WI,Beloit Memorial Hospital,Beloit,97,"3,931","18,072","$1,050,736"
39,WI,Fort Memorial Hospital,Fort Atkinson,49,"1,328","6,308","$384,167"
40,WI,Froedtert Community Hospital - New Berlin,New Berlin,32,244,589,"$580,068"
41,WI,Froedtert Community Hospital - Oak Creek,Oak Creek,0,0,0,$0
42,WI,Froedtert Community Hospital - Pewaukee,Pewaukee,0,0,0,$0
43,WI,Froedtert Hospital,Milwaukee,711,"35,741","216,839","$6,897,622"
44,WI,Froedtert Menomonee Falls Hospital,Menomonee Falls,202,"8,161","35,046","$846,407"
45,WI,Froedtert Pleasant Prairie Hospital,Pleasant Prairie,228,"5,926","32,864","$1,167,945"
46,WI,Froedtert West Bend Hospital,West Bend,70,"4,229","16,281","$433,203"
47,WI,Gundersen Lutheran Medical Center,La Crosse,297,"15,441","67,197","$2,704,270"
48,WI,Holy Family Memorial Medical Center,Manitowoc,58,"2,229","8,288","$322,714"
49,WI,Howard Young Medical Center,Woodruff,42,845,"4,832","$78,200"
50,WI,HSHS Sacred Heart Hospital,Eau Claire,192,"6,181","33,255","$526,718"
51,WI,HSHS Saint Joseph's Hospital,Chippewa Falls,102,"1,977","10,472","$111,387"
52,WI,HSHS Saint Mary's Hospital Medical Center,Green Bay,83,"3,050","14,761","$466,600"
