,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue,Longitude,Latitude,Full_Address,fips_code,county_name
0,AK,673d Medical Group - Joint Base Elmendorf-Richardson,Joint Base Elmendorf-Richardson,0,0,0,0,-149.6932134,61.25467339999999,"600 Richardson Dr, Anchorage, AK 99505, USA",02020,Anchorage Municipality
1,AK,Alaska Native Medical Center,Anchorage,174,8079,40053,0,-149.8002427,61.182452,"4315 Diplomacy Dr, Anchorage, AK 99508, USA",02020,Anchorage Municipality
2,AK,Alaska Regional Hospital,Anchorage,176,7205,42868,1749027,-149.8283619,61.2106829,"2801 DeBarr Rd, Anchorage, AK 99508, USA",02020,Anchorage Municipality
3,AK,Bartlett Regional Hospital,Juneau,57,1506,8091,212228,-134.4651751,58.32873590000001,"3260 Hospital Dr, Juneau, AK 99801, USA",02110,Juneau City and Borough
4,AK,Bassett Army Community Hospital,Fort Wainwright,0,0,0,0,-147.6636608,64.83006499999999,"4076 Neely Rd, Fort Wainwright, AK 99703, USA",02090,Fairbanks North Star Borough
5,AK,Central Peninsula Hospital,Soldotna,109,2602,11731,527907,-151.078362,60.49341559999999,"250 Hospital Pl, Soldotna, AK 99669, USA",02122,Kenai Peninsula Borough
6,AK,Fairbanks Memorial Hospital,Fairbanks,212,4358,18694,606088,-147.7386277,64.83127879999999,"1650 Cowles St, Fairbanks, AK 99701, USA",02090,Fairbanks North Star Borough
7,AK,Mat-Su Regional Medical Center,Palmer,125,5213,24802,1071288,-149.2577137,61.5631321,"2500 S Woodworth Loop, Palmer, AK 99645, USA",02170,Matanuska-Susitna Borough
8,AK,Providence Alaska Children's Hospital,Anchorage,0,0,0,0,-149.8169137,61.1879049,"3200 Providence Dr, Anchorage, AK 99508, USA",02020,Anchorage Municipality
9,AK,Providence Alaska Medical Center,Anchorage,401,14617,111459,2746525,-149.8221279,61.1865955,"3200 Providence Dr, Anchorage, AK 99508, USA",02020,Anchorage Municipality
10,AK,Yukon-Kuskokwim Delta Regional Hospital,Bethel,34,1227,3906,0,-161.7849365,60.7881259,"829 Chief Eddie Hoffman Hwy, Bethel, AK 99559, USA",02050,Bethel Census Area
11,AL,Andalusia Health,Andalusia,83,2196,9475,296507,-86.4947558,31.2961331,"849 S 3 Notch St, Andalusia, AL 36420, USA",01039,Covington County
12,AL,Ascension Saint Vincent's Birmingham,Birmingham,401,17201,94162,2334190,-86.788416,33.5076648,"810 St Vincents Dr, Birmingham, AL 35205, USA",01073,Jefferson County
13,AL,Ascension Saint Vincent's Chilton,Clanton,26,652,2098,150890,-86.62260599999999,32.8802913,"2030 Lay Dam Rd, Clanton, AL 35045, USA",01021,Chilton County
14,AL,Ascension Saint Vincent's St. Clair,Pell City,40,1975,10004,271331,-86.30172530000002,33.6043705,"7063 Veterans Pkwy, Pell City, AL 35125, USA",01115,St. Clair County
15,AL,Ascension St. Vincent's East,Birmingham,311,12222,78475,1324754,-86.6676502,33.596457,"50 Medical Park Dr E, Birmingham, AL 35235, USA",01073,Jefferson County
16,AL,Athens-Limestone Hospital,Athens,66,3689,14794,382934,-86.9716741,34.8028661,"Athens, AL, USA",01083,Limestone County
17,AL,Atmore Community Hospital,Atmore,49,822,3177,71017,-87.4788066,31.0170169,"401 Medical Park Dr, Atmore, AL 36502, USA",01053,Escambia County
18,AL,Atrium Health Floyd Cherokee Medical Center,Centre,45,1005,4423,92722,-85.6508729,34.1615289,"400 Northwood Dr, Centre, AL 35960, USA",01019,Cherokee County
19,AL,Baptist Medical Center East,Montgomery,184,11662,63480,653788,-86.1749557,32.3760195,"400 Taylor Rd, Montgomery, AL 36117, USA",01101,Montgomery County
20,AL,Baptist Medical Center South,Montgomery,389,14392,97790,1789301,-86.27757580000001,32.3281002,"2105 E South Blvd, Montgomery, AL 36116, USA",01101,Montgomery County
21,AL,Bibb Medical Center,Centreville,156,229,1053,31288,-87.1481567,32.9512581,"208 Pierson Ave #2918, Centreville, AL 35042, USA",01007,Bibb County
22,AL,Birmingham VA Medical Center,Birmingham,0,0,0,0,-86.8013615,33.5042537,"700 19th St S, Birmingham, AL 35233, USA",01073,Jefferson County
23,AL,Brookwood Baptist Medical Center,Birmingham,595,12003,63284,3353980,-86.73366759999999,33.4363501,"3980 Colonnade Pkwy, Birmingham, AL 35243, USA",01073,Jefferson County
24,AL,Bullock County Hospital,Union Springs,54,208,1317,42632,-85.71673439999999,32.1466501,"102 Conecuh Ave W, Union Springs, AL 36089, USA",01011,Bullock County
25,AL,Central Alabama Veterans Health Care System - East Campus,Tuskegee,0,0,0,0,-85.7123431,32.445249,"2400 Hospital Rd, Tuskegee, AL 36083, USA",01087,Macon County
