,fips_code,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue,Hospitals,Local_Hospital
0,01001,77.0,3049.0,15984.0,250284.0,1.0,yes
1,01003,301.0,18080.0,78361.0,2481966.0,3.0,yes
2,01005,47.0,1055.0,4571.0,76099.0,1.0,yes
3,01007,156.0,229.0,1053.0,31288.0,1.0,yes
4,01009,0.0,0.0,0.0,0.0,0.0,no
5,01011,54.0,208.0,1317.0,42632.0,1.0,yes
6,01013,57.0,669.0,3081.0,164248.0,1.0,yes
7,01015,570.0,13830.0,71309.0,2163354.0,2.0,yes
8,01017,29.0,460.0,2106.0,0.0,1.0,yes
9,01019,45.0,1005.0,4423.0,92722.0,1.0,yes
10,01021,26.0,652.0,2098.0,150890.0,1.0,yes
11,01023,0.0,0.0,0.0,0.0,0.0,no
12,01025,94.0,1310.0,4825.0,104039.0,3.0,yes
13,01027,129.0,873.0,4080.0,38778.0,1.0,yes
14,01029,0.0,0.0,0.0,0.0,0.0,no
15,01031,99.0,3547.0,14584.0,807240.0,1.0,yes
16,01033,362.0,7918.0,35376.0,610435.0,2.0,yes
17,01035,44.0,1172.0,4614.0,41527.0,1.0,yes
18,01037,0.0,0.0,0.0,0.0,0.0,no
19,01039,142.0,3400.0,14541.0,362879.0,2.0,yes
20,01041,49.0,353.0,1738.0,37390.0,1.0,yes
21,01043,137.0,7669.0,33540.0,675767.0,1.0,yes
22,01045,89.0,1228.0,6851.0,125677.0,1.0,yes
23,01047,109.0,3933.0,13323.0,612065.0,1.0,yes
24,01049,115.0,2440.0,10461.0,473504.0,1.0,yes
25,01051,80.0,1199.0,6026.0,67714.0,2.0,yes
26,01053,95.0,1944.0,7490.0,207328.0,2.0,yes
27,01055,515.0,15450.0,83427.0,3749333.0,2.0,yes
28,01057,132.0,554.0,1866.0,0.0,1.0,yes
29,01059,49.0,1006.0,4453.0,116848.0,1.0,yes
30,01061,145.0,580.0,3208.0,37897.0,1.0,yes
31,01063,92.0,230.0,1358.0,22637.0,1.0,yes
32,01065,28.0,384.0,1166.0,19713.0,1.0,yes
33,01067,0.0,0.0,0.0,0.0,0.0,no
34,01069,546.0,30844.0,161378.0,4695759.0,2.0,yes
35,01071,95.0,2041.0,9827.0,134434.0,1.0,yes
36,01073,3664.0,132802.0,828864.0,27221265.0,10.0,yes
37,01075,0.0,0.0,0.0,0.0,0.0,no
38,01077,223.0,11701.0,60090.0,1054075.0,1.0,yes
39,01079,43.0,367.0,1004.0,28230.0,1.0,yes
40,01081,320.0,15434.0,77586.0,961669.0,1.0,yes
41,01083,66.0,3689.0,14794.0,382934.0,1.0,yes
42,01085,0.0,0.0,0.0,0.0,0.0,no
43,01087,0.0,0.0,0.0,0.0,1.0,yes
44,01089,1113.0,59102.0,304431.0,9000649.0,3.0,yes
45,01091,67.0,1361.0,7929.0,103099.0,1.0,yes
46,01093,153.0,1236.0,4773.0,194033.0,2.0,yes
47,01095,268.0,11158.0,54442.0,690802.0,2.0,yes
48,01097,1445.0,55521.0,355481.0,3840547.0,4.0,yes
49,01099,46.0,917.0,3352.0,84182.0,1.0,yes
50,01101,851.0,37795.0,231003.0,3702724.0,4.0,yes
51,01103,472.0,10232.0,52365.0,754890.0,2.0,yes
52,01105,0.0,0.0,0.0,0.0,0.0,no
53,01107,0.0,0.0,0.0,0.0,0.0,no
54,01109,59.0,921.0,3862.0,160727.0,1.0,yes
55,01111,0.0,0.0,0.0,0.0,0.0,no
56,01113,47.0,2755.0,7022.0,219587.0,1.0,yes
57,01115,40.0,1975.0,10004.0,271331.0,1.0,yes
58,01117,252.0,7949.0,44191.0,1515339.0,1.0,yes
59,01119,33.0,333.0,3715.0,7855.0,1.0,yes
