Unnamed: 0,State,Hospital_Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
0,AK,673d Medical Group - Joint Base Elmendorf-Richardson,Joint Base Elmendorf-Richardson,0,0,0,$0
1,AK,Alaska Native Medical Center,Anchorage,174,"8,079","40,053",$0
2,AK,Alaska Regional Hospital,Anchorage,176,"7,205","42,868","$1,749,027"
3,AK,Bartlett Regional Hospital,Juneau,57,"1,506","8,091","$212,228"
4,AK,Bassett Army Community Hospital,Fort Wainwright,0,0,0,$0
5,AK,Central Peninsula Hospital,Soldotna,109,"2,602","11,731","$527,907"
6,AK,Fairbanks Memorial Hospital,Fairbanks,212,"4,358","18,694","$606,088"
7,AK,Mat-Su Regional Medical Center,Palmer,125,"5,213","24,802","$1,071,288"
8,AK,Providence Alaska Children's Hospital,Anchorage,0,0,0,$0
9,AK,Providence Alaska Medical Center,Anchorage,401,"14,617","111,459","$2,746,525"
10,AK,Yukon-Kuskokwim Delta Regional Hospital,Bethel,34,"1,227","3,906",$0
0,AL,Andalusia Health,Andalusia,83,"2,196","9,475","$296,507"
1,AL,Ascension Saint Vincent's Birmingham,Birmingham,401,"17,201","94,162","$2,334,190"
2,AL,Ascension Saint Vincent's Chilton,Clanton,26,652,"2,098","$150,890"
3,AL,Ascension Saint Vincent's St. Clair,Pell City,40,"1,975","10,004","$271,331"
4,AL,Ascension St. Vincent's East,Birmingham,311,"12,222","78,475","$1,324,754"
5,AL,Athens-Limestone Hospital,Athens,66,"3,689","14,794","$382,934"
6,AL,Atmore Community Hospital,Atmore,49,822,"3,177","$71,017"
7,AL,Atrium Health Floyd Cherokee Medical Center,Centre,45,"1,005","4,423","$92,722"
8,AL,Baptist Medical Center East,Montgomery,184,"11,662","63,480","$653,788"
9,AL,Baptist Medical Center South,Montgomery,389,"14,392","97,790","$1,789,301"
10,AL,Bibb Medical Center,Centreville,156,229,"1,053","$31,288"
11,AL,Birmingham VA Medical Center,Birmingham,0,0,0,$0
12,AL,Brookwood Baptist Medical Center,Birmingham,595,"12,003","63,284","$3,353,980"
13,AL,Bullock County Hospital,Union Springs,54,208,"1,317","$42,632"
14,AL,Central Alabama Veterans Health Care System - East Campus,Tuskegee,0,0,0,$0
15,AL,Central Alabama Veterans Health Care System - West Campus,Montgomery,0,0,0,$0
16,AL,Citizens Baptist Medical Center,Talladega,103,"1,893","9,521","$276,690"
17,AL,Clay County Hospital,Ashland,129,873,"4,080","$38,778"
18,AL,Community Hospital,Tallassee,47,350,"1,593","$28,759"
19,AL,Coosa Valley Medical Center,Sylacauga,142,"2,715","12,541","$300,843"
20,AL,Crenshaw Community Hospital,Luverne,49,353,"1,738","$37,390"
21,AL,Crestwood Medical Center,Huntsville,174,"8,561","38,278","$3,148,889"
22,AL,Cullman Regional Medical Center,Cullman,137,"7,669","33,540","$675,767"
23,AL,D.W. McMillan Memorial Hospital,Brewton,46,"1,122","4,313","$136,311"
24,AL,Dale Medical Center,Ozark,89,"1,228","6,851","$125,677"
25,AL,DCH Regional Medical Center,Tuscaloosa,468,"31,691","126,916","$1,927,773"
26,AL,Decatur Morgan Hospital,Decatur,352,"8,672","46,437","$568,257"
27,AL,Decatur Morgan Hospital Parkway Campus,Decatur,120,"1,560","5,928","$186,633"
28,AL,DeKalb Regional Medical Center,Fort Payne,115,"2,440","10,461","$473,504"
29,AL,EAMC - Lanier,Valley,29,460,"2,106",$0
30,AL,East Alabama Medical Center,Opelika,320,"15,434","77,586","$961,669"
31,AL,Elmore Community Hospital,Wetumpka,33,849,"4,433","$38,955"
32,AL,Evergreen Medical Center,Evergreen,44,"1,172","4,614","$41,527"
33,AL,Fayette Medical Center,Fayette,132,554,"1,866",$0
34,AL,Flowers Hospital,Dothan,193,"12,030","57,381","$2,645,980"
35,AL,Gadsden Regional Medical Center,Gadsden,234,"9,675","52,468","$2,799,599"
36,AL,Grandview Medical Center,Birmingham,434,"23,478","118,144","$6,740,642"
37,AL,Greene County Health System,Eutaw,92,230,"1,358","$22,637"
38,AL,Grove Hill Memorial Hospital,Grove Hill,30,396,"1,631","$33,290"
39,AL,Hale County Hospital,Greensboro,28,384,"1,166","$19,713"
40,AL,Helen Keller Hospital,Sheffield,178,"6,553","28,212","$498,881"
41,AL,Highlands Medical Center,Scottsboro,95,"2,041","9,827","$134,434"
42,AL,Hill Hospital Of Sumter County,York,33,333,"3,715","$7,855"
43,AL,Huntsville Hospital,Huntsville,939,"50,541","266,153","$5,851,760"
44,AL,J. Paul Jones Hospital,Camden,21,89,360,"$7,763"
45,AL,Jack Hughston Memorial Hospital,Phenix City,47,"2,755","7,022","$219,587"
46,AL,Jackson Hospital,Montgomery,278,"11,741","69,733","$1,259,635"
47,AL,Jackson Medical Center,Jackson,35,666,"2,571","$32,058"
48,AL,Lake Martin Community Hospital,Dadeville,46,418,"1,762","$17,411"
49,AL,Lakeland Community Hospital,Haleyville,58,892,"3,265","$66,958"
50,AL,Lawrence Medical Center,Moulton,43,367,"1,004","$28,230"
51,AL,Madison Hospital,Madison,0,0,0,$0
52,AL,Marshall Medical Center North,Guntersville,90,"4,712","18,949","$170,481"
53,AL,Marshall Medical Center South,Boaz,178,"6,446","35,493","$520,321"
54,AL,Medical Center Barbour,Eufaula,47,"1,055","4,571","$76,099"
55,AL,Medical Center Enterprise,Enterprise,99,"3,547","14,584","$807,240"
56,AL,Medical West,Bessemer,246,"5,925","34,646","$570,461"
57,AL,Mizell Memorial Hospital,Opp,59,"1,204","5,066","$66,372"
58,AL,Mobile Infirmary Medical Center,Mobile,654,"22,575","146,209","$1,256,284"
59,AL,Monroe County Hospital,Monroeville,46,917,"3,352","$84,182"
60,AL,North Alabama Medical Center,Florence,223,"11,701","60,090","$1,054,075"
61,AL,North Alabama Shoals Hospital,Muscle Shoals,184,"1,365","7,164","$111,554"
62,AL,North Baldwin Infirmary,Bay Minette,48,"2,069","6,255","$98,428"
63,AL,North Mississippi Medical Center - Hamilton,Hamilton,115,370,882,"$70,662"
64,AL,Northport Medical Center,Northport,207,"5,073","26,754",$0
65,AL,Northwest Regional Health,Winfield,38,866,"3,891","$123,371"
66,AL,Prattville Baptist Hospital,Prattville,77,"3,049","15,984","$250,284"
67,AL,Princeton Baptist Medical Center,Birmingham,303,"10,382","57,300","$1,990,337"
68,AL,Providence Hospital,Mobile,349,"12,024","68,217","$934,506"
69,AL,Regional Medical Center of Central Alabama,Greenville,57,669,"3,081","$164,248"
70,AL,Riverview Regional Medical Center,Gadsden,281,"5,775","30,959","$949,734"
71,AL,RMC Anniston,Anniston,445,"11,697","60,065","$1,713,824"
72,AL,Russell Medical Center,Alexander City,45,"1,716","6,263","$245,084"
73,AL,Russellville Hospital,Russellville,49,"1,006","4,453","$116,848"
74,AL,Shelby Baptist Medical Center,Alabaster,252,"7,949","44,191","$1,515,339"
75,AL,South Baldwin Regional Medical Center,Foley,112,"5,299","24,427","$1,771,777"
76,AL,Southeast Health Medical Center,Dothan,353,"18,814","103,997","$2,049,779"
77,AL,Springhill Medical Center,Mobile,200,"9,602","56,458","$679,441"
78,AL,Stringfellow Campus of Northeast Alabama Regional Medical Center,Anniston,125,"2,133","11,244","$449,530"
79,AL,Thomas Hospital,Fairhope,141,"10,712","47,679","$611,761"
80,AL,TRMC Alabama,Thomasville,29,248,623,"$38,691"
81,AL,Troy Regional Medical Center,Troy,59,921,"3,862","$160,727"
82,AL,UAB Callahan Eye Hospital,Birmingham,6,140,363,"$299,416"
83,AL,UAB Hospital,Birmingham,"1,295","47,810","370,013","$10,318,705"
84,AL,UAB Hospital - Highlands,Birmingham,73,"3,641","12,477","$288,780"
85,AL,USA Health University Hospital,Mobile,242,"11,320","84,597","$970,316"
86,AL,Vaughan Regional Medical Center,Selma,109,"3,933","13,323","$612,065"
87,AL,Walker Baptist Medical Center,Jasper,259,"6,157","27,701","$1,032,309"
88,AL,Whitfield Regional Hospital,Demopolis,67,"1,361","7,929","$103,099"
89,AL,Wiregrass Medical Center,Geneva,145,580,"3,208","$37,897"
0,AR,Arkansas Heart Hospital,Little Rock,112,"5,293","21,758","$647,303"
1,AR,Arkansas Heart Hospital Encore Medical Center,Bryant,34,"2,284","11,034","$150,357"
2,AR,Arkansas Methodist Medical Center,Paragould,129,"2,656","11,908","$204,760"
3,AR,Arkansas Surgical Hospital,North Little Rock,47,"2,803","5,520","$221,028"
4,AR,Baptist Health Medical Center - Conway,Conway,111,"3,505","16,591","$379,982"
5,AR,Baptist Health Medical Center - Hot Spring County,Malvern,69,"1,415","5,900","$79,499"
6,AR,Baptist Health Medical Center - North Little Rock,North Little Rock,224,"11,501","57,880","$1,039,469"
7,AR,Baptist Health Medical Center - Stuttgart,Stuttgart,49,693,"2,519","$90,414"
8,AR,Baptist Health Medical Center- Little Rock,Little Rock,809,"28,224","179,370","$2,598,866"
9,AR,Baptist Health-Fort Smith,Fort Smith,321,"11,894","64,517","$1,850,525"
10,AR,Baptist Health-Van Buren,Van Buren,74,382,"1,213","$82,464"
11,AR,Baptist Memorial Hospital - Crittenden,West Memphis,11,503,"1,525","$166,425"
12,AR,Baxter Health,Mountain Home,211,"9,530","35,732","$761,879"
13,AR,Cabot Emergency Hospital,Cabot,0,0,0,$0
14,AR,Chambers Memorial Hospital,Danville,42,"1,412","4,012","$57,995"
15,AR,CHI St. Vincent Hot Springs,Hot Springs,229,"13,294","52,451","$1,001,711"
16,AR,CHI St. Vincent Infirmary,Little Rock,419,"13,609","90,135","$1,821,199"
17,AR,CHI St. Vincent North,Sherwood,68,"3,369","17,476","$381,818"
18,AR,Conway Regional Medical Center,Conway,150,"8,333","40,985","$915,488"
19,AR,Drew Memorial Hospital,Monticello,60,"2,136","7,812","$108,303"
20,AR,Fayetteville VA Medical Center,Fayetteville,0,0,0,$0
21,AR,Forrest City Medical Center,Forrest City,62,"1,716","5,948","$158,039"
22,AR,Fort Smith ER & Hospital,Fort Smith,0,0,0,$0
23,AR,Great River Medical Center,Blytheville,28,"1,779","7,209","$100,590"
24,AR,Helena Regional Medical Center,Helena,127,551,"1,433","$82,706"
25,AR,Jefferson Regional Medical Center,Pine Bluff,290,"7,547","37,458","$788,526"
26,AR,John L. McClellan Memorial Veterans Hospital,Little Rock,0,0,0,$0
27,AR,Johnson Regional Medical Center,Clarksville,90,"1,470","5,229","$78,806"
28,AR,Levi Hospital,Hot Springs National Park,53,2,2,"$14,290"
29,AR,Magnolia Regional Medical Center,Magnolia,29,924,"3,613","$71,566"
30,AR,Medical Center of South Arkansas,El Dorado,121,"2,962","13,366","$499,967"
31,AR,Mena Regional Health System,Mena,65,"1,037","2,985","$75,379"
32,AR,Mercy Hospital Fort Smith,Fort Smith,256,"16,588","75,225","$1,506,596"
33,AR,Mercy Hospital Northwest Arkansas,Rogers,270,"13,470","59,688","$1,436,538"
34,AR,Mercy Orthopedic Hospital Fort Smith,Fort Smith,0,0,0,$0
35,AR,National Park Medical Center,Hot Springs,163,"4,567","22,444","$1,067,491"
36,AR,NEA Baptist Memorial Hospital,Jonesboro,204,"10,840","54,223","$1,262,446"
37,AR,North Arkansas Regional Medical Center,Harrison,134,"2,063","8,709","$294,809"
38,AR,Northwest Health Physicians' Specialty Hospital,Fayetteville,20,"1,122","1,775","$167,459"
39,AR,Northwest Medical Center - Bentonville,Bentonville,121,"5,192","22,923","$238,959"
40,AR,Northwest Medical Center - Springdale,Springdale,308,"13,670","65,745","$2,362,894"
41,AR,Ouachita County Medical Center,Camden,82,969,"4,287","$113,285"
42,AR,Saint Mary's Regional Health System,Russellville,157,"4,719","21,157","$814,536"
43,AR,Saline Memorial Hospital,Benton,161,"3,724","16,279","$343,864"
44,AR,Sevier County Medical Center,De Queen,0,0,0,$0
45,AR,Siloam Springs Regional Hospital,Siloam Springs,64,"1,533","6,087","$401,149"
46,AR,St. Bernards Five Rivers Medical Center,Pocahontas,41,637,"2,167","$41,819"
47,AR,St. Bernards Medical Center,Jonesboro,398,"20,459","98,571","$1,261,830"
48,AR,Unity Health - Jacksonville,Jacksonville,0,0,0,$0
49,AR,Unity Health - Newport,Newport,0,0,0,$0
50,AR,Unity Health - White County Medical Center,Searcy,234,"10,333","47,566","$788,442"
51,AR,University of Arkansas for Medical Sciences (UAMS) Medical Center,Little Rock,521,"25,768","150,933","$1,334,667"
52,AR,Wadley Regional Medical Center at Hope,Hope,48,331,"1,213","$69,563"
53,AR,Washington Regional Medical Center,Fayetteville,377,"15,292","76,535","$1,629,305"
